Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26233547,09/01/2013 12:48:11 AM,09/01/2013 01:22:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/01/2013 08:48:11 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/01/2013 01:22:33 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26252008,09/05/2013 01:02:58 AM,09/05/2013 02:43:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/05/2013 09:02:58 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/05/2013 02:43:57 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26229303,08/30/2013 11:47:04 PM,08/31/2013 02:46:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,08/31/2013 07:47:04 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 02:46:29 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26265294,09/07/2013 02:10:17 AM,09/07/2013 02:48:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/07/2013 10:10:17 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/07/2013 02:48:26 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26265309,09/07/2013 12:53:58 AM,09/07/2013 02:45:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/07/2013 08:53:58 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/07/2013 02:45:05 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26268484,09/07/2013 12:53:37 AM,09/07/2013 01:54:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/07/2013 08:53:37 AM,The Police Department responded to the complaint and took action to fix the condition.,09/07/2013 01:54:56 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26276924,09/08/2013 09:25:01 PM,09/08/2013 09:32:24 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/09/2013 05:25:01 AM,The Police Department responded to the complaint and took action to fix the condition.,09/08/2013 09:32:24 PM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26293835,09/11/2013 10:40:48 PM,09/12/2013 03:11:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/12/2013 06:40:48 AM,The Police Department responded to the complaint and took action to fix the condition.,09/12/2013 03:11:06 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26294730,09/11/2013 11:15:27 PM,09/12/2013 03:11:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/12/2013 07:15:27 AM,The Police Department responded to the complaint and took action to fix the condition.,09/12/2013 03:11:06 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
26295474,09/11/2013 10:08:24 PM,09/12/2013 03:11:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,PEDESTRIAN OVERPASS,MAIN STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/12/2013 06:08:24 AM,The Police Department responded to the complaint and took action to fix the condition.,09/12/2013 03:11:04 AM,03 STATEN ISLAND,5079980130.0,STATEN ISLAND,915176.0,126926.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51478878187545,-74.24842225921331,"(40.51478878187545, -74.24842225921331)",True,False,False
