Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26237490,09/01/2013 03:13:50 AM,09/01/2013 05:51:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10475,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVENUE,NEW ENGLAND THRWY EXIT 13 NB,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2013 11:13:50 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 05:51:14 AM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,ONLINE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
26611015,11/02/2013 06:46:46 AM,11/02/2013 07:12:17 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10475.0,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVENUE,NEW ENGLAND THRWY EXIT 13 NB,,,ADDRESS,BRONX,,Precinct,Closed,11/02/2013 02:46:46 PM,The Police Department issued a summons in response to the complaint.,11/02/2013 07:12:06 AM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,ONLINE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
23027969,04/09/2012 01:21:00 PM,04/11/2012 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10475.0,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVENUE,NEW ENGLAND THRWY EXIT 13 NB,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/11/2012 12:00:00 PM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,ONLINE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
27995918,05/06/2014 09:57:00 PM,05/07/2014 12:00:00 PM,DSNY,Bronx 10,Sanitation Condition,12 Dead Animals,Sidewalk,10475.0,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVENUE,NEW ENGLAND THRWY EXIT 13 NB,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation removed the items.,05/07/2014 12:00:00 PM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,ONLINE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
31230887,08/03/2015 06:04:00 PM,10/12/2015 09:04:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),,10475,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVE,MERRITT AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,10/12/2015 09:04:00 AM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,PHONE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
31309476,08/14/2015 07:47:16 AM,08/14/2015 02:19:50 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10475,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVENUE,NEW ENGLAND THRWY EXIT 13 NB,,,ADDRESS,BRONX,,Precinct,Closed,08/14/2015 03:47:16 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,08/14/2015 02:19:50 PM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,ONLINE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
31343770,08/19/2015 01:36:00 PM,08/22/2015 12:30:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10475,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVE,MERRITT AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",08/22/2015 12:30:00 PM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,PHONE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",True,False,False
31889664,11/02/2015 12:21:00 AM,11/04/2015 02:05:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10475.0,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DELAVALL AVE,ROMBOUTS AVE,TILLOTSON AVENUE,DELAVALL AVENUE,INTERSECTION,BRONX,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/04/2015 02:05:00 AM,10 BRONX,2052460001.0,BRONX,1031864.0,260756.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.88226069199618,-73.82781153664834,"(40.88226069199618, -73.82781153664835)",False,False,False
31922602,11/05/2015 10:55:00 PM,11/06/2015 01:25:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10475.0,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DELAVALL AVE,MERRITT AVE,TILLOTSON AVENUE,DELAVALL AVENUE,INTERSECTION,BRONX,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/06/2015 01:25:00 AM,10 BRONX,2052460001.0,BRONX,1031864.0,260756.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.88226069199618,-73.82781153664834,"(40.88226069199618, -73.82781153664835)",False,False,False
36334126,06/01/2017 06:51:34 PM,06/06/2017 12:00:57 PM,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10475,2260 TILLOTSON AVENUE,TILLOTSON AVENUE,DE LAVALL AVENUE,NEW ENGLAND THRWY EXIT 13 NB,,,ADDRESS,BRONX,,,Closed,06/05/2017 06:51:34 PM,The Department of Parks and Recreation visited the location but could not find the tree condition you reported.,06/06/2017 12:00:57 PM,10 BRONX,2052460001.0,BRONX,1031895.0,260766.0,PHONE,Unspecified,BRONX,,,,,,,,40.882287971520746,-73.82769935923244,"(40.88228797152074, -73.82769935923243)",False,True,True
