Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26823041,10/11/2013 11:38:00 PM,10/12/2013 05:38:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,10/12/2013 07:38:00 AM,The Police Department responded to the complaint and took action to fix the condition.,10/12/2013 05:38:10 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,False,False
28499652,07/17/2014 05:29:00 PM,07/17/2014 05:29:00 PM,DSNY,BCC - Bronx,Derelict Vehicles,14 Derelict Vehicles,Street,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,07/17/2014 05:29:00 PM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",False,False,False
28786694,08/30/2014 01:58:49 AM,09/01/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,09/01/2014 12:00:00 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
28705434,08/19/2014 01:19:20 AM,08/19/2014 06:03:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,08/19/2014 09:19:20 AM,The Police Department responded to the complaint and took action to fix the condition.,08/19/2014 06:03:05 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
28956547,09/27/2014 01:40:28 AM,09/27/2014 02:45:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,09/27/2014 09:40:28 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/27/2014 02:45:39 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
28967600,09/28/2014 11:00:42 PM,09/29/2014 12:39:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,09/29/2014 07:00:42 AM,The Police Department responded to the complaint and took action to fix the condition.,09/29/2014 12:39:06 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
28778058,08/30/2014 01:42:47 AM,08/30/2014 07:00:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,08/30/2014 09:42:47 AM,The Police Department responded to the complaint and took action to fix the condition.,08/30/2014 07:00:33 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
28948204,09/24/2014 08:13:04 PM,09/25/2014 12:00:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,09/25/2014 04:13:04 AM,The Police Department responded to the complaint and took action to fix the condition.,09/25/2014 12:00:12 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
28967651,09/28/2014 11:16:20 PM,09/29/2014 12:39:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10457,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,Precinct,Closed,09/29/2014 07:16:20 AM,The Police Department responded to the complaint and took action to fix the condition.,09/29/2014 12:39:04 AM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",True,True,False
29123071,10/22/2014 09:18:00 PM,10/22/2014 09:18:00 PM,DSNY,BCC - Bronx,Derelict Vehicles,14 Derelict Vehicles,Street,10457.0,2278 ARTHUR AVENUE,ARTHUR AVENUE,EAST 182 STREET,QUARRY ROAD,,,ADDRESS,BRONX,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,10/22/2014 09:18:00 PM,06 BRONX,2030710010.0,BRONX,1014709.0,249824.0,PHONE,Unspecified,BRONX,,,,,,,,40.852331583466686,-73.8898994736634,"(40.85233158346669, -73.8898994736634)",False,True,False
