Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16554134,04/30/2010 09:12:19 AM,06/30/2010 06:24:00 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11369,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,,Closed,06/29/2010 09:12:19 AM,,06/30/2010 12:00:00 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
19109984,11/11/2010 03:25:33 PM,06/03/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11369,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,06/03/2011 12:00:00 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
19271315,12/05/2010 04:32:01 PM,06/03/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11369.0,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",06/03/2011 12:00:00 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
21822235,11/04/2011 03:09:21 PM,11/20/2011 01:07:34 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,11369,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,,Closed,11/19/2011 04:33:07 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",11/20/2011 01:07:34 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
21854870,11/11/2011 02:15:37 AM,11/11/2011 02:58:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,11/11/2011 10:15:37 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/11/2011 02:58:32 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
22517171,01/15/2012 02:12:54 AM,01/15/2012 04:20:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369.0,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,01/15/2012 10:12:54 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/15/2012 04:20:58 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
22533656,01/18/2012 01:10:28 AM,01/18/2012 01:35:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369.0,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,01/18/2012 09:10:28 AM,The Police Department responded to the complaint and took action to fix the condition.,01/18/2012 01:35:28 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
22655870,02/05/2012 02:17:06 AM,02/05/2012 06:48:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,02/05/2012 10:17:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/05/2012 06:47:50 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
22789550,02/28/2012 08:39:47 AM,03/01/2012 12:00:00 AM,DOB,Department of Buildings,Plumbing,Sprinkler System - Inadequate,,11369,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,03/01/2012 12:00:00 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,False,False
24364337,11/08/2012 04:29:57 PM,11/24/2012 01:06:33 AM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,11369.0,23-04 94 STREET,94 STREET,23 AVENUE,JACKSON MILL ROAD,,,ADDRESS,EAST ELMHURST,,,Closed,11/24/2012 04:44:48 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",11/24/2012 01:06:33 AM,03 QUEENS,4010870001.0,QUEENS,1018543.0,219063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76788720761979,-73.87619783265795,"(40.76788720761979, -73.87619783265795)",True,True,False
