Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
22606571,01/27/2012 09:01:00 PM,01/31/2012 08:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10017.0,230 PARK AVENUE,PARK AVENUE,PARK AVE,PARK AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/31/2012 08:45:00 PM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",True,False,False
16365789,04/02/2010 01:30:19 PM,04/07/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10017.0,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,04/07/2010 12:00:00 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",True,False,False
18320428,07/22/2010 02:04:22 PM,08/12/2010 10:05:30 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10017,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,08/16/2010 12:47:56 PM,,08/12/2010 12:00:00 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
18674950,09/13/2010 11:44:00 AM,09/15/2010 01:24:50 PM,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,10017,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,09/27/2010 11:44:00 AM,,09/15/2010 12:00:00 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
18947495,10/22/2010 08:23:52 AM,11/15/2010 02:12:48 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10017,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,11/15/2010 10:11:10 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,11/15/2010 12:00:00 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
19542578,01/06/2011 10:14:50 AM,01/22/2011 01:06:55 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,10017.0,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,01/22/2011 02:18:34 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",01/22/2011 01:06:55 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",True,False,False
19598177,01/14/2011 03:00:57 PM,02/28/2011 10:41:30 AM,DOHMH,Department of Health and Mental Hygiene,X-Ray Machine/Equipment,Facility Unregistered,Dentist's Office,10017,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,02/13/2011 03:00:57 PM,The DOHMH has investigated the complaint and cited violations. The agency will continue to monitor.,02/28/2011 10:41:30 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
19666966,01/24/2011 09:38:14 PM,02/15/2011 02:11:36 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10017,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,02/15/2011 02:03:43 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,02/15/2011 02:11:04 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,Car Service,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
19706050,01/29/2011 12:36:24 AM,01/29/2011 01:04:38 AM,NYPD,New York City Police Department,Homeless Encampment,,Street/Sidewalk,10017.0,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/29/2011 08:36:24 AM,The Police Department responded to the complaint and took action to fix the condition.,01/29/2011 01:04:38 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
21333198,09/01/2011 07:53:55 PM,09/02/2011 04:19:42 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10017.0,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,09/15/2011 07:53:55 PM,The Department of Transportation has completed the request or corrected the condition.,09/02/2011 04:19:42 PM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
21386736,09/07/2011 07:55:00 AM,09/08/2011 10:15:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10017.0,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/08/2011 10:15:00 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",True,False,False
21397987,09/09/2011 09:36:15 AM,10/05/2011 03:53:24 PM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,10017,230 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,,Closed,12/08/2011 09:36:15 AM,The condition has been inspected/investigated. See customer notes for more information.,10/05/2011 03:53:24 PM,05 MANHATTAN,1013000001.0,MANHATTAN,990801.0,214015.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.754095831018546,-73.97635494633703,"(40.754095831018546, -73.97635494633703)",False,False,False
21563553,10/01/2011 03:44:22 PM,10/03/2011 05:17:48 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10017,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,10/21/2011 03:44:22 PM,"The condition has been inspected/investigated, see customer notes for more information.",10/03/2011 05:17:48 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",False,False,False
21596718,10/06/2011 09:56:00 AM,10/11/2011 11:30:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10017,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",10/11/2011 11:30:00 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",True,False,False
23991611,09/07/2012 04:13:03 PM,09/23/2012 01:06:24 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,10017.0,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,09/25/2012 02:12:31 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",09/23/2012 01:06:24 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",True,True,False
24029138,09/15/2012 08:31:40 AM,10/06/2012 10:19:35 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10017.0,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,10/05/2012 08:31:40 AM,General maintenance and cleaning is on a regular schedule. The next scheduled maintenance and cleaning will correct the condition.,10/06/2012 10:19:35 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",False,True,False
24592364,12/13/2012 10:12:43 PM,05/30/2013 09:02:59 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10017,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,01/28/2013 10:07:40 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,05/30/2013 09:02:59 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",False,True,False
25237560,03/23/2013 07:44:29 PM,03/30/2013 09:31:16 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10017,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,04/13/2013 07:44:29 PM,General maintenance and cleaning is on a regular schedule. The next scheduled maintenance and cleaning will correct the condition.,03/30/2013 09:31:16 AM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",False,True,False
25485506,05/05/2013 03:02:58 PM,05/09/2013 01:05:01 PM,DOT,Department of Transportation,Sidewalk Condition,Metal Protruding - Sign Stump,Sidewalk,10017,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,05/19/2013 03:02:58 PM,The Department of Transportation has determined that this issue is not within its jurisdiction.,05/09/2013 01:05:01 PM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",False,True,False
25707120,06/10/2013 11:54:05 AM,06/25/2013 01:38:28 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10017,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,,Closed,07/26/2013 09:51:27 AM,"Because you live outside the tri-state area, the Taxi and Limousine Commission will send instructions on how to submit written testimony in 14 days. Please note your Service Request number for future reference.",06/25/2013 01:38:28 PM,05 MANHATTAN,1013000001.0,MANHATTAN,990923.0,214182.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.75455411234813,-73.9759144361651,"(40.754554112348124, -73.9759144361651)",False,True,False
