Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26671827,11/12/2013 11:57:21 AM,11/13/2013 01:31:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/12/2013 07:57:21 PM,The Police Department responded to the complaint and determined that police action was not necessary.,11/13/2013 01:31:09 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,True,True
15981071,02/11/2010 12:50:19 PM,02/12/2010 11:01:29 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,02/26/2010 02:46:10 PM,,02/12/2010 12:00:00 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
16794561,06/04/2010 07:28:41 PM,06/20/2010 01:06:24 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,06/22/2010 10:31:29 AM,,06/20/2010 12:00:00 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
16836128,06/10/2010 06:52:59 PM,06/26/2010 01:06:57 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,06/26/2010 01:44:44 PM,,06/26/2010 12:00:00 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
16934442,06/24/2010 12:21:32 PM,07/10/2010 01:06:38 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,07/10/2010 09:13:14 AM,,07/10/2010 12:00:00 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
19599715,01/14/2011 01:05:42 PM,01/30/2011 01:06:57 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,01/29/2011 03:28:27 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",01/30/2011 01:06:57 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
19836254,02/15/2011 03:25:20 PM,03/03/2011 01:06:54 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,03/02/2011 03:43:41 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",03/03/2011 01:06:54 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
20610873,06/10/2011 10:06:09 AM,06/26/2011 01:06:29 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,06/25/2011 02:35:21 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",06/26/2011 01:06:29 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
20655771,06/17/2011 10:18:07 AM,07/03/2011 01:06:58 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11223,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,07/02/2011 02:30:27 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",07/03/2011 01:06:58 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
20954626,08/02/2011 11:44:05 AM,08/18/2011 01:06:40 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,11223.0,2320 MCDONALD AVENUE,MCDONALD AVENUE,VILLAGE ROAD NORTH,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,,Closed,08/17/2011 04:46:51 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",08/18/2011 01:06:40 AM,15 BROOKLYN,3071230048.0,BROOKLYN,991631.0,156322.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59574093644695,-73.97342234081202,"(40.59574093644695, -73.97342234081202)",True,False,False
