Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26452117,10/08/2013 01:06:19 AM,10/08/2013 02:02:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10302.0,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/08/2013 09:06:19 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/08/2013 02:02:28 AM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,True,False
20772926,07/05/2011 09:03:00 AM,07/06/2011 12:00:00 PM,DSNY,A - Staten Island,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,10302.0,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/06/2011 12:00:00 PM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
23912730,09/02/2012 02:45:00 AM,09/08/2012 11:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Loud Music/Nighttime(Mark Date And Time) (NP1),,10302.0,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVE,ANDERSON AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/08/2012 11:45:00 PM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
16327877,03/28/2010 02:11:59 PM,04/09/2010 04:10:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10302,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,ANDERSON AVENUE,CASTLETON AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,04/09/2010 04:10:00 PM,Unspecified STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",False,False,False
20057019,03/18/2011 02:26:02 AM,03/18/2011 09:56:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10302,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,03/18/2011 10:26:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/18/2011 09:56:58 AM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
20203900,04/09/2011 03:00:32 AM,04/09/2011 04:17:43 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10302,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,04/09/2011 11:00:32 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/09/2011 04:17:44 AM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
20252853,04/17/2011 03:33:30 AM,04/17/2011 05:48:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10302,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,04/17/2011 11:33:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/17/2011 05:48:02 AM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
20511242,05/27/2011 01:44:48 AM,05/27/2011 04:11:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10302,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,05/27/2011 09:44:48 AM,The Police Department responded to the complaint and took action to fix the condition.,05/27/2011 04:11:48 AM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
20799849,07/09/2011 12:21:00 PM,07/09/2011 02:30:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10302.0,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,07/09/2011 02:30:00 PM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",False,False,False
21138001,08/30/2011 03:01:56 AM,08/30/2011 04:51:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10302.0,236 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,CASTLETON AVENUE,ANDERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,08/30/2011 11:01:56 AM,The Police Department responded to the complaint and determined that police action was not necessary.,08/30/2011 04:51:48 AM,01 STATEN ISLAND,5010820077.0,STATEN ISLAND,946793.0,170928.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63575525761309,-74.13495687494931,"(40.63575525761309, -74.13495687494931)",True,False,False
