Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26407982,10/01/2013 12:37:23 AM,10/01/2013 01:12:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/01/2013 08:37:23 AM,The Police Department responded to the complaint and took action to fix the condition.,10/01/2013 01:12:57 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
26499258,10/16/2013 11:51:57 PM,10/17/2013 12:45:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/17/2013 07:51:57 AM,The Police Department responded to the complaint and took action to fix the condition.,10/17/2013 12:45:56 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
26614612,11/03/2013 02:59:22 AM,11/03/2013 03:30:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/03/2013 10:59:22 AM,The Police Department responded to the complaint and took action to fix the condition.,11/03/2013 03:30:06 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
26583803,10/30/2013 12:10:57 AM,10/30/2013 12:58:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/30/2013 08:10:57 AM,The Police Department responded to the complaint and took action to fix the condition.,10/30/2013 12:58:14 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
26601632,11/01/2013 02:05:58 AM,11/01/2013 02:52:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/01/2013 10:05:58 AM,The Police Department responded to the complaint and took action to fix the condition.,11/01/2013 02:52:53 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
26657397,11/09/2013 03:16:34 AM,11/09/2013 07:53:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/09/2013 11:16:34 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/09/2013 07:53:57 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
27716917,03/26/2014 12:39:58 AM,03/26/2014 12:59:30 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/26/2014 08:39:58 AM,The Police Department responded to the complaint and took action to fix the condition.,03/26/2014 12:59:30 AM,04 BROOKLYN,,BROOKLYN,1004575.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233246833,-73.92669617986495,"(40.70243233246833, -73.92669617986496)",True,True,False
27024843,01/01/2014 10:30:29 PM,01/01/2014 11:26:59 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/02/2014 06:30:29 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2014 11:27:00 PM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
27239974,01/24/2014 02:14:26 AM,01/24/2014 03:10:13 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/24/2014 10:14:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/24/2014 03:10:13 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
27646844,03/16/2014 02:32:47 AM,03/16/2014 04:11:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/16/2014 10:32:47 AM,The Police Department responded to the complaint and took action to fix the condition.,03/16/2014 04:11:03 AM,04 BROOKLYN,,BROOKLYN,1004574.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233476517,-73.9266997864473,"(40.70243233476517, -73.9266997864473)",True,True,False
27650135,03/16/2014 02:17:06 AM,03/16/2014 04:11:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/16/2014 10:17:06 AM,The Police Department responded to the complaint and took action to fix the condition.,03/16/2014 04:11:02 AM,04 BROOKLYN,,BROOKLYN,1004575.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233246833,-73.92669617986495,"(40.70243233246833, -73.92669617986496)",True,True,False
27499124,02/23/2014 12:54:55 AM,02/23/2014 03:18:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/23/2014 08:54:55 AM,The Police Department responded to the complaint and took action to fix the condition.,02/23/2014 03:17:52 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,True,False
27572727,03/05/2014 01:37:44 AM,03/05/2014 03:11:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/05/2014 09:37:44 AM,The Police Department responded to the complaint and took action to fix the condition.,03/05/2014 03:11:14 AM,04 BROOKLYN,,BROOKLYN,1004575.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233246833,-73.92669617986495,"(40.70243233246833, -73.92669617986496)",True,True,False
27577374,03/06/2014 01:22:24 AM,03/06/2014 02:24:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/06/2014 09:22:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/06/2014 02:24:02 AM,04 BROOKLYN,,BROOKLYN,1004575.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233246833,-73.92669617986495,"(40.70243233246833, -73.92669617986496)",True,True,False
27701183,03/23/2014 03:49:14 AM,03/23/2014 05:13:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/23/2014 11:49:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/23/2014 05:13:35 AM,04 BROOKLYN,,BROOKLYN,1004575.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233246833,-73.92669617986495,"(40.70243233246833, -73.92669617986496)",True,True,False
27735434,03/29/2014 12:43:29 AM,03/29/2014 01:40:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,236 TROUTMAN STREET,TROUTMAN STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/29/2014 08:43:29 AM,The Police Department responded to the complaint and took action to fix the condition.,03/29/2014 01:40:57 AM,04 BROOKLYN,,BROOKLYN,1004575.0,195200.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70243233246833,-73.92669617986495,"(40.70243233246833, -73.92669617986496)",True,True,False
15722710,01/13/2010 03:24:27 AM,01/13/2010 04:56:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/13/2010 11:24:27 AM,,01/13/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
15889651,01/30/2010 02:41:19 AM,01/30/2010 04:02:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/30/2010 10:41:19 AM,,01/30/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
16000511,02/15/2010 02:11:54 AM,02/15/2010 03:34:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/15/2010 10:11:54 AM,,02/15/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
16270919,03/22/2010 03:05:23 AM,03/22/2010 05:26:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/22/2010 11:05:23 AM,,03/22/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
16270964,03/22/2010 01:34:14 AM,03/22/2010 02:21:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/22/2010 09:34:14 AM,,03/22/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
16376886,04/05/2010 06:19:54 AM,04/05/2010 10:15:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/05/2010 02:19:54 PM,,04/05/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
16850244,06/12/2010 03:45:18 AM,06/12/2010 10:45:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11237.0,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/12/2010 11:45:18 AM,,06/12/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
18853768,10/09/2010 02:10:53 AM,10/09/2010 03:06:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/09/2010 10:10:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/09/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
18881984,10/13/2010 11:41:57 PM,10/14/2010 03:20:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/14/2010 07:41:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/14/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
19063791,11/06/2010 10:29:17 PM,11/06/2010 10:37:05 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/07/2010 06:29:17 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/06/2010 12:00:00 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
20904195,07/25/2011 10:03:28 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,,Pending,08/31/2011 10:03:28 PM,,07/26/2011 10:48:38 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
21904078,11/18/2011 02:09:55 AM,11/18/2011 04:58:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2011 10:09:55 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2011 04:58:53 AM,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
21910985,11/18/2011 02:14:49 AM,11/18/2011 02:15:04 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
21985690,12/01/2011 12:56:42 AM,12/01/2011 12:57:42 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11237,236 TROUTMAN STREET,TROUTMAN STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,04 BROOKLYN,3031860019.0,BROOKLYN,1004526.0,195217.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.702479105877174,-73.92687285121569,"(40.702479105877174, -73.92687285121569)",True,False,False
