Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27539039,02/27/2014 03:06:42 PM,04/24/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468.0,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,05/02/2014 03:32:17 PM,"The City inspected the property for cleaning, but no graffiti was found.",04/30/2014 11:30:15 AM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
28008784,05/09/2014 12:15:52 PM,08/15/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468.0,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,07/03/2014 11:28:40 AM,"The cleaning crew was dispatched, but the owner refused to have the graffiti removed.",08/19/2014 03:46:18 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
30072756,03/02/2015 03:42:52 PM,05/14/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,,,,,ADDRESS,BRONX,,,Closed,04/08/2015 10:00:58 AM,The City has removed the graffiti from this property.,05/28/2015 03:40:22 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
32641840,02/10/2016 11:58:45 AM,05/10/2016 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,,,,,ADDRESS,BRONX,,,Closed,04/03/2016 03:32:41 PM,"The City inspected the property for cleaning, but no graffiti was found.",05/16/2016 03:27:15 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
16199440,03/12/2010 01:30:18 PM,01/11/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,"The cleaning crew was dispatched, but the owner refused to have the graffiti removed.",01/10/2012 12:41:01 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,OTHER,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
16864891,06/14/2010 01:28:20 PM,07/22/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,07/30/2010 03:01:34 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,OTHER,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
18313119,07/20/2010 07:17:43 PM,07/28/2010 10:45:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10468,2362 JEROME AVENUE,JEROME AVENUE,EAST  184 STREET,NORTH STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,07/28/2010 10:45:00 AM,Unspecified BRONX,2031870025.0,BRONX,1011150.0,252694.0,OTHER,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",False,False,False
23048764,04/12/2012 04:29:23 PM,04/27/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,04/30/2012 11:56:40 AM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
23193270,05/08/2012 11:43:33 AM,05/21/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,05/29/2012 03:53:03 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
23598257,07/11/2012 03:21:18 PM,07/24/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,07/26/2012 04:37:28 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
24107926,09/28/2012 03:03:10 PM,10/09/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468.0,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,"The cleaning crew was dispatched, but the owner refused to have the graffiti removed.",11/08/2012 10:12:33 AM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
24590482,12/13/2012 11:05:06 AM,12/28/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,01/02/2013 05:01:27 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
24836106,01/22/2013 03:21:48 PM,04/08/2013 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,2362 JEROME AVENUE,JEROME AVENUE,NORTH STREET,EAST 184 STREET,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,04/18/2013 12:35:52 PM,05 BRONX,2031870025.0,BRONX,1011150.0,252694.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.860220431336685,-73.90275270689773,"(40.860220431336685, -73.90275270689773)",True,False,False
