Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26308388,09/14/2013 12:20:41 AM,09/14/2013 02:06:30 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205,240 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,09/14/2013 08:20:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/14/2013 02:06:30 AM,02 BROOKLYN,,BROOKLYN,992696.0,190389.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68924656698153,-73.96954481808321,"(40.68924656698153, -73.9695448180832)",True,True,False
26309075,09/14/2013 12:15:37 AM,09/14/2013 02:11:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205,240 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,09/14/2013 08:15:37 AM,The Police Department responded to the complaint and took action to fix the condition.,09/14/2013 02:11:44 AM,02 BROOKLYN,,BROOKLYN,992696.0,190389.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68924656698153,-73.96954481808321,"(40.68924656698153, -73.9695448180832)",True,True,False
26309878,09/14/2013 12:10:09 AM,09/14/2013 02:10:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,240 DEKALB AVENUE,DEKALB AVENUE,CLERMONT AVENUE,VANDERBILT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/14/2013 08:10:09 AM,The Police Department responded to the complaint and took action to fix the condition.,09/14/2013 02:10:42 AM,02 BROOKLYN,3021050030.0,BROOKLYN,992686.0,190473.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68947713718711,-73.9695807716015,"(40.68947713718711, -73.9695807716015)",True,True,False
26348761,09/21/2013 12:14:17 AM,09/21/2013 01:06:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205,240 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,09/21/2013 08:14:17 AM,The Police Department responded to the complaint and took action to fix the condition.,09/21/2013 01:06:10 AM,02 BROOKLYN,,BROOKLYN,992696.0,190389.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68924656698153,-73.96954481808321,"(40.68924656698153, -73.9695448180832)",True,True,False
26349396,09/20/2013 11:19:06 PM,09/20/2013 11:28:30 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205,240 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,09/21/2013 07:19:06 AM,The Police Department reviewed your complaint and provided additional information below.,09/20/2013 11:28:30 PM,02 BROOKLYN,,BROOKLYN,992696.0,190389.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68924656698153,-73.96954481808321,"(40.68924656698153, -73.9695448180832)",True,True,False
26352556,09/20/2013 11:03:05 PM,09/20/2013 11:28:32 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11205,240 DEKALB AVENUE,DEKALB AVENUE,CLERMONT AVENUE,VANDERBILT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/21/2013 07:03:05 AM,The Police Department responded to the complaint and took action to fix the condition.,09/20/2013 11:28:32 PM,02 BROOKLYN,3021050030.0,BROOKLYN,992686.0,190473.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68947713718711,-73.9695807716015,"(40.68947713718711, -73.9695807716015)",True,True,False
26434494,10/04/2013 11:51:15 PM,10/05/2013 01:15:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,240 DEKALB AVENUE,DEKALB AVENUE,CLERMONT AVENUE,VANDERBILT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/05/2013 07:51:15 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2013 01:15:36 AM,02 BROOKLYN,3021050030.0,BROOKLYN,992686.0,190473.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68947713718711,-73.9695807716015,"(40.68947713718711, -73.9695807716015)",True,True,False
26436599,10/04/2013 10:47:40 PM,10/05/2013 12:32:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205,240 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/05/2013 06:47:40 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2013 12:32:21 AM,02 BROOKLYN,,BROOKLYN,992696.0,190389.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68924656698153,-73.96954481808321,"(40.68924656698153, -73.9695448180832)",True,True,False
26390700,09/27/2013 11:25:59 PM,09/28/2013 01:40:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205.0,240 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,09/28/2013 07:25:59 AM,The Police Department responded to the complaint and took action to fix the condition.,09/28/2013 01:40:56 AM,02 BROOKLYN,,BROOKLYN,992696.0,190389.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68924656698153,-73.96954481808321,"(40.68924656698153, -73.9695448180832)",True,True,False
26397129,09/29/2013 01:46:55 AM,09/29/2013 04:36:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205.0,240 DEKALB AVENUE,DEKALB AVENUE,CLERMONT AVENUE,VANDERBILT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/29/2013 09:46:55 AM,The Police Department responded to the complaint and took action to fix the condition.,09/29/2013 04:36:47 AM,02 BROOKLYN,3021050030.0,BROOKLYN,992686.0,190473.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68947713718711,-73.9695807716015,"(40.68947713718711, -73.9695807716015)",True,True,False
