Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26318363,09/15/2013 04:34:25 AM,09/15/2013 06:54:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/15/2013 12:34:25 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/15/2013 06:54:00 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,True,False
26707921,11/18/2013 08:48:18 AM,11/19/2013 12:02:24 PM,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,Street,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,,Closed,11/28/2013 08:48:18 AM,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,11/19/2013 12:02:24 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",False,True,False
21546927,09/29/2011 10:54:00 AM,10/13/2011 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,10/13/2011 12:00:00 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
21934444,11/21/2011 02:29:00 PM,11/22/2011 10:10:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,W 9 ST,W 8 ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",11/22/2011 10:10:00 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",False,False,False
28069912,05/18/2014 02:54:00 AM,05/18/2014 03:57:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,,,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/18/2014 10:54:00 AM,The Police Department responded to the complaint and took action to fix the condition.,05/18/2014 03:57:45 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,True,False
16199720,03/12/2010 02:56:11 PM,03/15/2010 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued a violation.,03/15/2010 12:00:00 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
16904124,06/21/2010 02:13:14 AM,06/21/2010 03:46:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2010 10:13:14 AM,,06/21/2010 12:00:00 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
18859426,10/08/2010 03:06:18 PM,10/14/2010 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued a violation.,10/14/2010 12:00:00 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
18958815,10/22/2010 03:52:26 PM,11/03/2010 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,11/03/2010 12:00:00 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
20736398,06/29/2011 01:37:03 PM,06/29/2011 04:20:44 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/29/2011 09:37:03 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/29/2011 04:20:45 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
21107572,08/25/2011 10:32:12 PM,08/26/2011 12:24:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/26/2011 06:32:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/26/2011 12:24:23 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
21463626,09/18/2011 11:39:20 PM,09/19/2011 02:23:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/19/2011 07:39:20 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/19/2011 02:23:42 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
22966521,03/28/2012 10:18:18 AM,04/20/2012 03:24:14 PM,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,,Closed,04/27/2012 10:18:18 AM,"The Department of Transportation will inspect the condition and determine if the location will be added to the next or future season's curb construction contract (2 - 3 years). Community Boards and elected officials are consulted to determine curb construction priority and scheduling.  For scheduling information regarding a specific curb, contact the local Community Board.",04/20/2012 03:24:14 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",False,False,False
23552772,07/04/2012 03:14:40 PM,07/04/2012 08:54:38 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/04/2012 11:14:40 PM,The Police Department responded to the complaint and took action to fix the condition.,07/04/2012 08:54:38 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
23768067,08/07/2012 04:31:08 PM,08/08/2012 09:20:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST    8 STREET,WEST    9 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,08/08/2012 09:20:00 AM,Unspecified BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",False,False,False
23871963,08/26/2012 01:15:21 AM,08/26/2012 06:40:29 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/26/2012 09:15:21 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/26/2012 06:40:29 AM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
24100728,09/27/2012 07:43:44 PM,09/27/2012 08:36:22 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11223,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/28/2012 03:43:44 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/27/2012 08:36:22 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
24692044,12/30/2012 11:31:36 PM,12/30/2012 11:51:38 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,240 KINGS HIGHWAY,KINGS HIGHWAY,WEST 9 STREET,WEST 8 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/2012 07:31:36 AM,The Police Department responded to the complaint and took action to fix the condition.,12/30/2012 11:51:38 PM,11 BROOKLYN,3066480015.0,BROOKLYN,989294.0,159820.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534387506297,-73.98183484701688,"(40.60534387506297, -73.98183484701687)",True,False,False
