Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16365669,04/02/2010 03:03:00 PM,04/06/2010 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11422.0,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/06/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
23720985,07/31/2012 11:30:00 AM,08/10/2012 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11422.0,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,08/10/2012 12:00:00 PM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,True,False
16247338,03/18/2010 02:08:06 AM,03/18/2010 08:28:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,03/18/2010 10:08:06 AM,,03/18/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16361925,04/02/2010 03:29:07 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),11422.0,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,,Pending,05/02/2010 03:29:07 PM,,04/24/2010 04:09:09 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16355034,04/02/2010 02:23:27 AM,04/02/2010 12:27:34 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,04/02/2010 10:23:27 AM,,04/02/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16399932,04/09/2010 12:31:45 AM,04/09/2010 05:10:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,04/09/2010 08:31:45 AM,,04/09/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16417964,04/11/2010 01:18:28 AM,04/11/2010 03:58:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,04/11/2010 09:18:28 AM,,04/11/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16458218,04/16/2010 03:22:02 AM,04/16/2010 07:37:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,04/16/2010 11:22:02 AM,,04/16/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16547307,04/30/2010 01:17:40 AM,04/30/2010 07:39:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,04/30/2010 09:17:40 AM,,04/30/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
16669675,05/17/2010 01:35:38 AM,05/17/2010 09:42:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11422,245-11 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,245 STREET,246 STREET,,,ADDRESS,ROSEDALE,,Precinct,Closed,05/17/2010 09:35:38 AM,,05/17/2010 12:00:00 AM,13 QUEENS,4136140045.0,QUEENS,1057793.0,181592.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66479938203895,-73.7349102622122,"(40.66479938203895, -73.7349102622122)",True,False,False
