Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
30193614,03/16/2015 12:00:00 AM,03/17/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11206.0,247 VARET STREET,VARET STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",03/17/2015 12:00:00 AM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31579973,09/21/2015 10:21:44 PM,09/22/2015 06:31:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/22/2015 06:21:44 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/22/2015 06:31:04 AM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31610284,09/24/2015 09:59:54 PM,09/24/2015 10:57:52 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/25/2015 05:59:54 AM,The Police Department responded to the complaint and took action to fix the condition.,09/24/2015 10:57:52 PM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31660612,10/02/2015 09:28:31 PM,10/02/2015 11:23:47 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/03/2015 05:28:31 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/02/2015 11:23:47 PM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31665551,10/02/2015 09:23:42 PM,10/02/2015 11:23:45 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/03/2015 05:23:42 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/02/2015 11:23:45 PM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31933535,11/07/2015 11:08:29 PM,11/08/2015 01:57:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/08/2015 07:08:29 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/08/2015 01:57:34 AM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31972353,11/14/2015 12:43:15 AM,11/14/2015 02:28:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/14/2015 08:43:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/14/2015 02:28:32 AM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31991930,11/15/2015 08:34:41 PM,11/15/2015 11:08:54 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/16/2015 04:34:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/15/2015 11:08:54 PM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31991971,11/15/2015 08:40:34 PM,11/15/2015 11:08:54 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/16/2015 04:40:34 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/15/2015 11:08:54 PM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
31999949,11/16/2015 11:00:58 AM,11/16/2015 03:31:29 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/16/2015 07:00:58 PM,The Police Department responded to the complaint and determined that police action was not necessary.,11/16/2015 03:31:29 PM,01 BROOKLYN,3031100032.0,BROOKLYN,1002480.0,195787.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.704048073176345,-73.93425038133091,"(40.70404807317634, -73.93425038133091)",True,True,False
