Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27292862,01/31/2014 12:51:51 AM,01/31/2014 01:38:24 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/31/2014 08:51:51 AM,The Police Department responded to the complaint and took action to fix the condition.,01/31/2014 01:38:24 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923704.0,141224.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.554096284618886,-74.21787963837477,"(40.55409628461888, -74.21787963837477)",True,False,False
27292977,01/31/2014 12:44:41 AM,01/31/2014 01:38:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/31/2014 08:44:41 AM,The Police Department responded to the complaint and took action to fix the condition.,01/31/2014 01:38:26 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923704.0,141224.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.554096284618886,-74.21787963837477,"(40.55409628461888, -74.21787963837477)",True,False,False
29969242,02/13/2015 07:00:00 AM,02/17/2015 01:00:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,02/17/2015 01:00:00 PM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",False,False,False
16740463,05/26/2010 02:23:00 PM,05/26/2010 02:27:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",05/26/2010 02:27:00 PM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",False,False,False
24621740,12/18/2012 01:04:00 PM,12/18/2012 07:20:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",12/18/2012 07:20:00 PM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
27546374,02/28/2014 01:04:16 PM,03/04/2014 01:09:24 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,,Closed,03/14/2014 01:04:16 PM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,03/04/2014 01:09:07 PM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923704.0,141224.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.554096284618886,-74.21787963837477,"(40.55409628461888, -74.21787963837477)",True,False,False
29233653,11/07/2014 01:50:11 AM,11/07/2014 05:05:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,11/07/2014 09:50:11 AM,The Police Department responded to the complaint and took action to fix the condition.,11/07/2014 05:05:26 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
29783809,01/25/2015 01:18:14 AM,01/25/2015 03:33:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/25/2015 09:18:14 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/25/2015 03:33:05 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
29787119,01/25/2015 01:15:08 AM,01/25/2015 03:33:06 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/25/2015 09:15:08 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/25/2015 03:33:06 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
29873527,02/06/2015 01:21:48 AM,02/06/2015 01:34:52 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10309.0,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/06/2015 09:21:48 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/06/2015 01:34:52 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
29932516,02/13/2015 03:15:52 AM,02/13/2015 04:32:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/13/2015 11:15:52 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/13/2015 04:32:20 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
30085777,03/04/2015 04:26:22 PM,03/13/2015 07:41:05 AM,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,10309,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,,Closed,09/05/2015 12:26:50 PM,The Department of Transportation has completed the request or corrected the condition.,03/13/2015 07:41:05 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",False,False,False
31347528,08/19/2015 11:55:55 AM,08/21/2015 04:33:40 PM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,10309,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,,Closed,08/23/2015 11:55:55 AM,Your complaint was referred to the Department of Consumer Affairs. There was insufficient information and the Department was not able to act on the matter.,08/21/2015 04:33:40 PM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,False,False
32305792,12/31/2015 12:49:43 PM,12/31/2015 01:21:14 PM,NYPD,New York City Police Department,Drinking,After Hours - Licensed Est,Club/Bar/Restaurant,10309,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,12/31/2015 08:49:43 PM,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/2015 01:21:14 PM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923700.0,141174.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.55395901729128,-74.21789358507309,"(40.55395901729127, -74.2178935850731)",True,True,False
15640987,01/03/2010 02:41:18 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10309,2484 ARTHUR KILL ROAD,ARTHUR KILL ROAD,BEND,HERVEY STREET,,,ADDRESS,STATEN ISLAND,,,Pending,01/17/2010 02:41:18 PM,,01/15/2010 12:00:00 AM,03 STATEN ISLAND,5070720013.0,STATEN ISLAND,923704.0,141224.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.554096284618886,-74.21787963837477,"(40.55409628461888, -74.21787963837477)",True,False,False
