Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19324255,12/11/2010 09:22:00 AM,12/13/2010 11:45:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11693.0,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",12/13/2010 11:45:00 AM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,False,False
26861705,12/11/2013 01:24:00 PM,03/12/2014 02:20:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11693,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/12/2014 02:20:00 PM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,False,False
27074054,01/06/2014 07:23:00 PM,01/16/2014 10:57:00 AM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11693.0,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,The Department of Environmental Protection investigated this complaint and replaced the damaged or missing catch basin.,01/16/2014 10:57:00 AM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",False,False,False
31867159,10/29/2015 01:23:00 PM,10/30/2015 11:50:00 AM,DEP,Department of Environmental Protection,Water System,NO WATER - WNW,,11693.0,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,10/30/2015 11:50:00 AM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,True,False
32072348,11/25/2015 06:25:00 PM,12/31/2015 02:45:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11693,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,12/31/2015 02:45:00 PM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,True,False
32147599,12/07/2015 08:01:00 AM,12/07/2015 11:18:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11693.0,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12/07/2015 11:18:00 AM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,True,False
32200922,12/14/2015 04:11:00 PM,12/14/2015 04:25:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11693,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12/14/2015 04:25:00 PM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,True,False
32250536,12/21/2015 04:13:00 PM,12/30/2015 02:03:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11693,25 VAN BRUNT ROAD,VAN BRUNT ROAD,E 21 RD,DEMEREST RD,,,ADDRESS,Far Rockaway,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12/30/2015 02:03:00 PM,14 QUEENS,4155000080.0,QUEENS,1034293.0,157063.0,PHONE,Unspecified,QUEENS,,,,,,,,40.597636622011144,-73.81979887859413,"(40.59763662201114, -73.81979887859413)",True,True,False
33170420,04/19/2016 11:05:52 AM,12/27/2016 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11693,25 VAN BRUNT ROAD,VAN BRUNT ROAD,,,,,ADDRESS,Far Rockaway,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/27/2016 12:00:00 AM,14 QUEENS,4155000080.0,QUEENS,1034292.0,157064.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.59763937244974,-73.81980247210211,"(40.59763937244974, -73.81980247210211)",True,True,False
16214643,03/15/2010 12:16:00 AM,03/16/2010 08:28:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11693,25 VAN BRUNT ROAD,VAN BRUNT ROAD,EAST 21 ROAD,DEMEREST ROAD,,,ADDRESS,FAR ROCKAWAY,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,03/16/2010 12:00:00 AM,14 QUEENS,4155000080.0,QUEENS,1034215.0,157224.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.5980789736305,-73.82007855922168,"(40.5980789736305, -73.82007855922168)",False,False,False
