Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18633401,09/07/2010 08:43:59 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11103.0,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,,Assigned,10/14/2010 08:43:59 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",09/09/2010 05:53:42 PM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,False,False
18383159,07/31/2010 07:19:36 PM,08/02/2010 11:38:47 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11103,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,,Closed,08/04/2010 07:19:36 PM,,08/02/2010 12:00:00 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,False,False
18398439,08/03/2010 01:30:57 PM,10/03/2010 06:14:56 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Restaurant/Bar/Deli/Bakery,11103,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,,Closed,10/02/2010 01:30:57 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/03/2010 12:00:00 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,False,False
18742457,09/22/2010 07:56:22 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11103,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,,Pending,10/06/2010 07:56:22 PM,The facility you reported will receive a sanitary inspection. All restaurants and mobile food vendors are inspected annually. Inspection results will be available in 45 days by calling 311 or going online to www.nyc.gov.,10/04/2010 12:00:00 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,False,False
18750810,09/23/2010 03:53:03 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,11103,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,,Pending,10/06/2010 07:56:22 PM,The facility you reported will receive a sanitary inspection. All restaurants and mobile food vendors are inspected annually. Inspection results will be available in 45 days by calling 311 or going online to www.nyc.gov.,10/04/2010 07:33:24 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,False,False
19937847,03/01/2011 03:42:05 PM,03/02/2011 12:32:26 PM,DOT,Department of Transportation,Broken Muni Meter,Parking Card Stuck in Meter,Street,11103,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,,Closed,03/11/2011 03:42:05 PM,A parking card has been mailed to the customer.  The parking card was sent by certified mail and will require the customer's signature.,03/02/2011 12:32:26 PM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",False,False,False
24840137,01/24/2013 01:27:37 AM,01/24/2013 03:13:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,01/24/2013 09:27:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/24/2013 03:13:20 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,True,False
24873353,01/27/2013 12:08:18 AM,01/27/2013 03:42:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103.0,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,01/27/2013 08:08:18 AM,The Police Department responded to the complaint and took action to fix the condition.,01/27/2013 03:42:45 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,True,False
24911668,01/31/2013 03:13:39 AM,01/31/2013 04:22:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11103.0,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,01/31/2013 11:13:39 AM,The Police Department issued a summons in response to the complaint.,01/31/2013 04:22:37 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,True,False
24915077,02/02/2013 01:52:44 AM,02/02/2013 03:37:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103.0,25-70 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,02/02/2013 09:52:44 AM,The Police Department responded to the complaint and took action to fix the condition.,02/02/2013 03:37:34 AM,01 QUEENS,4006540091.0,QUEENS,1008615.0,218924.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76753862652798,-73.91203967217774,"(40.76753862652798, -73.91203967217774)",True,True,False
