Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
29604818,12/30/2014 04:08:00 AM,01/07/2015 02:06:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10451.0,2520 PARK AVENUE,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,PARK AVE,135 ST E,INTERSECTION,BRONX,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/07/2015 02:06:00 AM,Unspecified BRONX,2023220015.0,BRONX,1003688.0,235262.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",False,False,False
32416587,01/14/2016 11:07:02 AM,05/31/2016 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10451.0,2520 PARK AVENUE,PARK AVENUE,,,,,ADDRESS,BRONX,,,Closed,04/03/2016 03:32:41 PM,The City has removed the graffiti from this property.,06/03/2016 04:46:58 PM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",True,False,False
35659358,03/10/2017 12:39:39 PM,05/30/2017 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10451.0,2520 PARK AVENUE,PARK AVENUE,,,,,ADDRESS,BRONX,,,Closed,06/03/2017 03:57:43 PM,"The City inspected the property for cleaning, but no graffiti was found.",06/12/2017 04:36:06 PM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",True,True,True
33699700,06/27/2016 04:15:00 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10451.0,2520 PARK AVENUE,PARK AVENUE,BEND,EAST 138 STREET,,,ADDRESS,BRONX,,,Assigned,08/03/2016 04:15:00 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/28/2016 10:02:40 AM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,ONLINE,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",True,True,False
28443611,07/10/2014 06:47:04 PM,07/10/2014 08:16:28 PM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10451.0,2520 PARK AVENUE,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,,,ADDRESS,BRONX,,Precinct,Closed,07/11/2014 02:47:04 AM,The Police Department issued a summons in response to the complaint.,07/10/2014 08:16:28 PM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,PHONE,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",True,False,False
28719484,08/20/2014 09:39:00 AM,08/20/2014 10:00:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,10451,2520 PARK AVENUE,PARK AVENUE,E 135 ST,E 138 ST,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection inspected your complaint and repaired the problem. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",08/20/2014 10:00:00 PM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",False,False,False
28775715,08/28/2014 09:22:57 AM,11/18/2014 09:53:20 AM,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,10451,2520 PARK AVENUE,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,,,ADDRESS,BRONX,,,Closed,03/02/2015 12:54:06 PM,The Department of Transportation has completed the request or corrected the condition.,11/18/2014 09:53:20 AM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,ONLINE,Unspecified,BRONX,,,,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",False,False,False
29435493,12/05/2014 10:27:50 PM,01/20/2015 03:27:07 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10451,2520 PARK AVENUE,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,,,ADDRESS,BRONX,,,Closed,12/19/2014 10:27:50 PM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,01/20/2015 03:27:07 PM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,ONLINE,Unspecified,BRONX,,,Other,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",False,False,False
29464188,12/09/2014 09:31:03 AM,01/28/2015 06:36:28 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10451,2520 PARK AVENUE,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,,,ADDRESS,BRONX,,,Closed,12/23/2014 09:31:03 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,01/28/2015 06:36:28 PM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,UNKNOWN,Unspecified,BRONX,,,Other,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",False,False,False
29469239,12/09/2014 09:17:09 AM,01/21/2015 11:37:25 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10451,2520 PARK AVENUE,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,,,ADDRESS,BRONX,,,Closed,12/23/2014 09:17:09 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,01/21/2015 11:37:25 AM,01 BRONX,2023220015.0,BRONX,1003688.0,235262.0,UNKNOWN,Unspecified,BRONX,,,Other,,,,,40.81239423690101,-73.92977939335974,"(40.81239423690101, -73.92977939335974)",False,False,False
