Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26413157,10/01/2013 06:12:51 PM,10/02/2013 07:29:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/02/2013 02:12:51 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,10/02/2013 07:29:12 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,ONLINE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",True,True,False
26400994,09/29/2013 11:56:24 PM,09/30/2013 04:39:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454.0,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/30/2013 07:56:24 AM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,09/30/2013 04:39:41 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,ONLINE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",True,True,False
26405286,09/30/2013 12:00:00 AM,10/02/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,STAIRS,RESIDENTIAL BUILDING,10454.0,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/02/2013 12:00:00 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,PHONE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",False,True,False
26405866,09/30/2013 08:32:03 PM,10/01/2013 02:20:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454.0,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/01/2013 04:32:03 AM,The Police Department responded to the complaint and took action to fix the condition.,10/01/2013 02:20:56 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,ONLINE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",True,True,False
26405983,09/30/2013 12:00:00 AM,10/02/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10454.0,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/02/2013 12:00:00 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,PHONE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",False,True,False
26501151,10/11/2013 03:45:00 PM,10/11/2013 07:51:02 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10454.0,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/11/2013 11:45:00 PM,The Police Department responded to the complaint and took action to fix the condition.,10/11/2013 07:51:02 PM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,ONLINE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",True,True,False
26486420,10/15/2013 12:00:00 AM,10/23/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10454,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/23/2013 12:00:00 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,PHONE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",True,True,False
26489270,10/15/2013 12:00:00 AM,10/23/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10454,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/23/2013 12:00:00 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,PHONE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",False,True,False
26492242,10/15/2013 12:00:00 AM,10/17/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10454,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",10/17/2013 12:00:00 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,PHONE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",True,True,False
26493172,10/15/2013 12:00:00 AM,10/23/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,STAIRS,RESIDENTIAL BUILDING,10454,260 BROOK AVENUE,BROOK AVENUE,EAST 138 STREET,EAST 139 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/23/2013 12:00:00 AM,01 BRONX,2022660005.0,BRONX,1006689.0,233668.0,PHONE,Unspecified,BRONX,,,,,,,,40.808012038508096,-73.91894348666273,"(40.80801203850809, -73.91894348666274)",False,True,False
