Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26800050,12/02/2013 01:44:16 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11207,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,,Open,01/16/2014 01:44:16 PM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/02/2013 03:07:08 PM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
26823972,12/06/2013 01:55:05 AM,12/06/2013 07:24:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/06/2013 09:55:05 AM,The Police Department responded to the complaint and took action to fix the condition.,12/06/2013 07:23:40 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
26866845,12/13/2013 01:23:15 AM,12/13/2013 02:45:01 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/13/2013 09:23:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/13/2013 02:45:01 PM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
26933361,12/22/2013 04:41:21 AM,12/22/2013 05:40:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/22/2013 12:41:21 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/22/2013 05:40:18 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
28176332,06/04/2014 01:26:46 AM,06/04/2014 06:02:16 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/04/2014 09:26:46 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/04/2014 06:02:17 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",False,True,False
27658808,03/19/2014 01:05:56 AM,03/19/2014 08:54:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/19/2014 09:05:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/19/2014 08:54:36 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
27723931,03/27/2014 12:09:04 AM,03/27/2014 03:22:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/27/2014 08:09:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/27/2014 03:22:48 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
27777234,04/04/2014 01:38:24 AM,04/04/2014 04:07:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/04/2014 09:38:24 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,04/04/2014 04:07:36 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
27788068,04/06/2014 01:31:36 AM,04/06/2014 02:30:14 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/06/2014 09:31:36 AM,The Police Department responded to the complaint and took action to fix the condition.,04/06/2014 02:30:14 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
28042761,05/14/2014 03:40:33 AM,05/14/2014 05:07:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11207.0,2770 ATLANTIC AVENUE,ATLANTIC AVENUE,MILLER AVENUE,VAN SICLEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/14/2014 11:40:33 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/14/2014 05:07:25 AM,05 BROOKLYN,3039610009.0,BROOKLYN,1014216.0,185691.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67630493796007,-73.89196742854314,"(40.67630493796007, -73.89196742854314)",True,True,False
