Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
20523975,05/28/2011 02:28:32 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11211.0,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,,Assigned,07/04/2011 02:28:32 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/01/2011 10:55:53 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,False,False
16774562,06/01/2010 11:00:00 AM,06/04/2010 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11211.0,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,06/04/2010 12:00:00 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,False,False
24395081,11/12/2012 06:21:00 PM,11/15/2012 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11249.0,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,11/15/2012 12:00:00 PM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,True,False
18935113,10/20/2010 09:10:52 PM,10/20/2010 11:30:51 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11211,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/2010 05:10:52 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,10/20/2010 12:00:00 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,False,False
20998432,08/09/2011 12:12:16 PM,08/09/2011 05:20:38 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11211,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/09/2011 08:12:16 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/09/2011 05:20:38 PM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,False,False
20999676,08/09/2011 12:04:14 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,No Permit or License,Restaurant/Bar/Deli/Bakery,11211,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,,Pending,09/15/2011 12:04:14 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,08/09/2011 03:29:07 PM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,False,False
21276581,08/31/2011 12:00:00 AM,09/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11211.0,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/04/2011 12:00:00 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",False,False,False
23097569,04/22/2012 01:32:59 AM,04/22/2012 07:55:49 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11211,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/22/2012 09:32:59 AM,The Police Department reviewed your complaint and provided additional information below.,04/22/2012 07:55:49 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,False,False
23425305,06/15/2012 01:09:05 AM,07/24/2012 10:03:40 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11249,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,,Closed,08/02/2012 10:59:57 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,07/24/2012 10:03:40 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,ONLINE,Unspecified,BROOKLYN,,,Other,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",False,False,False
24115146,09/29/2012 04:27:07 PM,09/30/2012 12:37:02 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,11249,285 KENT AVENUE,KENT AVENUE,SOUTH 1 STREET,SOUTH 2 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/30/2012 12:27:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/30/2012 12:37:02 AM,01 BROOKLYN,3024030001.0,BROOKLYN,993492.0,199758.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71496147827534,-73.96666168795991,"(40.71496147827534, -73.96666168795991)",True,True,False
