Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26347252,09/20/2013 07:14:31 AM,09/20/2013 08:58:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/20/2013 03:14:31 PM,The Police Department responded to the complaint and determined that police action was not necessary.,09/20/2013 08:58:55 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,True,False
26432632,10/04/2013 12:29:09 AM,10/04/2013 12:56:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/04/2013 08:29:09 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/04/2013 12:56:23 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,True,False
26383990,09/27/2013 12:01:18 AM,09/27/2013 03:43:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/27/2013 08:01:18 AM,The Police Department responded to the complaint and took action to fix the condition.,09/27/2013 03:43:25 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,True,False
26385872,09/27/2013 12:17:25 AM,09/27/2013 03:43:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/27/2013 08:17:25 AM,The Police Department responded to the complaint and took action to fix the condition.,09/27/2013 03:43:25 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,True,False
26388448,09/27/2013 12:18:21 AM,09/27/2013 03:42:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309.0,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/27/2013 08:18:21 AM,The Police Department responded to the complaint and took action to fix the condition.,09/27/2013 03:42:22 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,True,False
22855092,03/09/2012 11:23:00 AM,03/10/2012 01:00:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10309.0,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVE,W SHORE EXPRESSWAY SB EXIT,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/10/2012 01:00:00 PM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920043.0,131618.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.527703964495814,-74.23096283799481,"(40.527703964495814, -74.23096283799481)",True,False,False
22871456,03/13/2012 11:19:00 AM,03/19/2012 10:50:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10309.0,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVE,W SHORE EXPRESSWAY SB EXIT,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/19/2012 10:50:00 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920043.0,131618.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.527703964495814,-74.23096283799481,"(40.527703964495814, -74.23096283799481)",True,False,False
28161368,05/31/2014 03:11:44 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,,Pending,07/07/2014 03:11:44 AM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,06/02/2014 11:23:18 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920043.0,131618.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.527703964495814,-74.23096283799481,"(40.527703964495814, -74.23096283799481)",True,True,False
28350830,06/27/2014 01:30:40 AM,06/27/2014 03:06:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,06/27/2014 09:30:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/27/2014 03:06:20 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920043.0,131618.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.527703964495814,-74.23096283799481,"(40.527703964495814, -74.23096283799481)",True,True,False
21006026,08/10/2011 10:40:09 AM,10/10/2011 06:18:45 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY SB EXIT 1,,,ADDRESS,STATEN ISLAND,,,Closed,10/09/2011 10:40:09 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/10/2011 06:18:45 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920163.0,131608.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52767738408426,-74.23053108614933,"(40.527677384084264, -74.23053108614933)",True,False,False
21061054,08/18/2011 12:10:47 PM,08/22/2011 02:38:41 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY SB EXIT 1,,,ADDRESS,STATEN ISLAND,,,Closed,09/01/2011 12:10:47 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,08/22/2011 02:38:41 PM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920163.0,131608.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52767738408426,-74.23053108614933,"(40.527677384084264, -74.23053108614933)",True,False,False
23065794,04/16/2012 10:32:51 AM,06/16/2012 06:20:59 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,Restaurant/Bar/Deli/Bakery,10309.0,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY SB EXIT 1,,,ADDRESS,STATEN ISLAND,,,Closed,06/15/2012 10:32:51 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/16/2012 06:20:59 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920163.0,131607.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.527674639279134,-74.23053107668265,"(40.527674639279134, -74.23053107668265)",True,False,False
24521595,12/02/2012 04:26:50 PM,12/06/2012 11:21:56 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,,Closed,12/16/2012 04:26:50 PM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,12/06/2012 11:21:56 AM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920163.0,131607.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.527674639279134,-74.23053107668265,"(40.527674639279134, -74.23053107668265)",True,False,False
24992170,02/13/2013 11:04:06 PM,02/19/2013 04:15:20 PM,DOT,Department of Transportation,Street Condition,Cave-in,Street,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,,Closed,02/23/2013 11:04:06 PM,"The  Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists, the Agency may issue the responsible party a summons and/or correct the condition.",02/19/2013 04:15:20 PM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920163.0,131607.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.527674639279134,-74.23053107668265,"(40.527674639279134, -74.23053107668265)",False,False,False
25001967,02/14/2013 12:42:18 PM,02/14/2013 06:50:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,WSE SB EXIT    1,TYRELLAN AVENUE,,,,,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,02/14/2013 06:50:00 PM,Unspecified STATEN ISLAND,,STATEN ISLAND,,,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,,,,False,False,False
25823123,06/26/2013 05:15:44 PM,06/26/2013 06:33:17 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,06/27/2013 01:15:44 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/26/2013 06:33:17 PM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,False,False
26127208,08/14/2013 08:00:46 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10309,2925 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVENUE,W SHORE EXPRESSWAY EXIT 1 SB,,,ADDRESS,STATEN ISLAND,,,Open,09/28/2013 08:00:46 PM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,08/15/2013 01:00:02 PM,03 STATEN ISLAND,5075110150.0,STATEN ISLAND,920046.0,131617.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52770124140151,-74.23095203708152,"(40.52770124140151, -74.23095203708151)",True,True,False
