Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26684020,11/14/2013 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10033,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",02/02/2014 12:00:00 AM,Unspecified MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,False,False
26686162,11/14/2013 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10033,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",02/02/2014 12:00:00 AM,Unspecified MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,False,False
26686248,11/14/2013 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10033,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",02/02/2014 12:00:00 AM,Unspecified MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,False,False
27156497,01/15/2014 12:00:00 AM,03/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",03/24/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,False,False
28078777,05/19/2014 12:00:00 AM,05/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",05/22/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,False,False
28301538,06/20/2014 12:00:00 AM,07/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",07/31/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,False,False
28695411,08/16/2014 12:00:00 AM,08/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,08/28/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,True,False
28696095,08/16/2014 12:00:00 AM,08/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/28/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,True,False
28697394,08/16/2014 12:00:00 AM,08/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/28/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,True,False
28698203,08/16/2014 12:00:00 AM,08/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10033.0,300 AUDUBON AVENUE,AUDUBON AVENUE,WEST 180 STREET,WEST 181 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,08/28/2014 12:00:00 AM,12 MANHATTAN,1021530080.0,MANHATTAN,1002847.0,248288.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848148672651384,-73.9327814310058,"(40.84814867265138, -73.9327814310058)",True,True,False
