Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
25768882,06/18/2013 12:59:00 PM,06/19/2013 11:00:00 AM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Other (CMO),,11233.0,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH ST,DECATUR ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection attempted to inspect this complaint but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/19/2013 11:00:00 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",False,False,False
29111562,10/20/2014 01:46:00 PM,10/20/2014 03:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11233.0,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH ST,DECATUR ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",10/20/2014 03:15:00 PM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",False,True,False
29736009,01/18/2015 12:50:09 AM,01/18/2015 02:03:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11233.0,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/18/2015 08:50:09 AM,The Police Department reviewed your complaint and provided additional information below.,01/18/2015 02:03:29 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
29736011,01/18/2015 12:38:41 AM,01/18/2015 02:03:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11233.0,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/18/2015 08:38:41 AM,The Police Department reviewed your complaint and provided additional information below.,01/18/2015 02:03:27 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
29738141,01/18/2015 01:53:44 AM,01/18/2015 02:08:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11233.0,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/18/2015 09:53:44 AM,The Police Department reviewed your complaint and provided additional information below.,01/18/2015 02:09:00 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
30532810,05/02/2015 03:10:56 AM,05/02/2015 08:49:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11233.0,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/02/2015 11:10:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/02/2015 08:49:44 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
30581923,05/10/2015 12:48:34 AM,05/10/2015 01:51:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11233,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/10/2015 08:48:34 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/10/2015 01:51:49 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
30582802,05/09/2015 11:05:57 PM,05/10/2015 01:54:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11233,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/10/2015 07:05:57 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,05/10/2015 01:54:01 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
30635236,05/16/2015 11:27:05 PM,05/17/2015 12:35:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11233,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/17/2015 07:27:05 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/17/2015 12:35:35 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
30649654,05/19/2015 12:25:53 AM,05/19/2015 02:37:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11233,300 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MAC DONOUGH STREET,DECATUR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/19/2015 08:25:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/19/2015 02:37:41 AM,03 BROOKLYN,3016760040.0,BROOKLYN,1003943.0,187970.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68258908870653,-73.92899667593709,"(40.68258908870653, -73.9289966759371)",True,True,False
