Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
35454844,02/09/2017 03:56:50 AM,02/09/2017 04:19:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10002,302 BROOME STREET,BROOME STREET,ELDRIDGE STREET,FORSYTH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/09/2017 11:56:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/09/2017 04:19:59 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,True,False
28192393,06/05/2014 11:28:47 AM,06/07/2014 03:00:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10002.0,302 BROOME STREET,BROOME STREET,ELDRIDGE STREET,FORSYTH STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Transportation inspected this complaint and found that the problem was fixed.,06/07/2014 03:00:00 PM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",False,False,False
29233492,11/06/2014 11:35:37 AM,01/11/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002.0,302 BROOME STREET,BROOME STREET,ELDRIDGE STREET,FORSYTH STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/11/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
29441371,12/05/2014 12:19:36 PM,12/07/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002.0,302 BROOME STREET,BROOME STREET,ELDRIDGE STREET,FORSYTH STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/07/2014 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
30415425,04/16/2015 11:18:13 AM,05/07/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,302 BROOME STREET,BROOME STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/07/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
30652502,05/19/2015 09:48:19 AM,05/21/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002.0,302 BROOME STREET,BROOME STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/21/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
30653289,05/19/2015 12:00:00 AM,05/21/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10002.0,302 BROOME STREET,BROOME STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",05/21/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
30656646,05/19/2015 09:42:00 AM,06/10/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002.0,302 BROOME STREET,BROOME STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,06/10/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
30684456,05/23/2015 01:18:01 AM,05/26/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,302 BROOME STREET,BROOME STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/26/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
30688324,05/23/2015 11:53:31 PM,05/26/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,302 BROOME STREET,BROOME STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/26/2015 12:00:00 AM,03 MANHATTAN,1004197501.0,MANHATTAN,986409.0,201131.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71873459787113,-73.99221148140744,"(40.71873459787113, -73.99221148140744)",True,False,False
