Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
31026742,07/07/2015 05:10:24 PM,07/13/2015 08:54:09 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10304.0,308 FRONT STREET,FRONT STREET,,,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,07/13/2015 08:54:09 AM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963534.0,168571.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934076770853,-74.07463216871835,"(40.62934076770852, -74.07463216871834)",True,True,False
16782152,06/02/2010 01:29:00 PM,06/02/2010 01:29:00 PM,DSNY,BCC - Staten Island,Derelict Vehicles,14 Derelict Vehicles,Street,10304.0,308 FRONT STREET,FRONT STREET,WAVE STREET,PROSPECT STREET,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,06/02/2010 12:00:00 AM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963534.0,168571.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934076770853,-74.07463216871835,"(40.62934076770852, -74.07463216871834)",False,False,False
16783438,06/02/2010 12:56:00 PM,06/02/2010 12:56:00 PM,DSNY,BCC - Staten Island,Derelict Vehicles,14 Derelict Vehicles,Street,10304.0,308 FRONT STREET,FRONT STREET,WAVE STREET,PROSPECT STREET,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,06/02/2010 12:00:00 AM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963534.0,168571.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934076770853,-74.07463216871835,"(40.62934076770852, -74.07463216871834)",False,False,False
23325111,05/30/2012 03:04:00 PM,06/23/2012 09:30:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10304.0,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the leak.,06/23/2012 09:30:00 AM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963534.0,168571.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.62934076770853,-74.07463216871835,"(40.62934076770852, -74.07463216871834)",True,False,False
23374253,06/06/2012 12:05:00 PM,06/06/2012 12:35:00 PM,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,10304.0,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/06/2012 12:35:00 PM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963534.0,168571.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.62934076770853,-74.07463216871835,"(40.62934076770852, -74.07463216871834)",True,False,False
30997891,07/03/2015 08:16:00 AM,07/03/2015 11:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",07/03/2015 11:30:00 AM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963543.0,168572.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934353353893,-74.0745997480949,"(40.62934353353893, -74.0745997480949)",False,True,False
31020233,07/07/2015 12:13:00 PM,07/09/2015 05:38:00 AM,DEP,Department of Environmental Protection,Water System,Other Water Problem (Use Comments) (WZZ),,10304,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07/09/2015 05:38:00 AM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963543.0,168572.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934353353893,-74.0745997480949,"(40.62934353353893, -74.0745997480949)",True,True,False
31171203,07/27/2015 11:33:00 AM,07/27/2015 01:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",07/27/2015 01:00:00 PM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963543.0,168572.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934353353893,-74.0745997480949,"(40.62934353353893, -74.0745997480949)",False,True,False
31171222,07/27/2015 01:08:00 PM,07/27/2015 01:14:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",07/27/2015 01:14:00 PM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963543.0,168572.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934353353893,-74.0745997480949,"(40.62934353353893, -74.0745997480949)",False,True,False
31177908,07/27/2015 03:12:00 PM,07/27/2015 05:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,308 FRONT STREET,FRONT STREET,WAVE ST,PROSPECT ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",07/27/2015 05:00:00 PM,01 STATEN ISLAND,5004890025.0,STATEN ISLAND,963543.0,168572.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62934353353893,-74.0745997480949,"(40.62934353353893, -74.0745997480949)",False,True,False
