Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26258490,09/06/2013 01:46:33 AM,09/06/2013 07:29:15 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/06/2013 09:46:33 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/06/2013 07:29:15 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",False,True,False
26360699,09/22/2013 11:11:23 PM,09/23/2013 05:10:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/23/2013 07:11:23 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/23/2013 05:10:36 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,True,False
26573817,10/28/2013 02:38:53 AM,10/28/2013 04:18:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/28/2013 10:38:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/28/2013 04:18:23 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,True,False
26676063,11/13/2013 04:51:42 AM,11/13/2013 05:19:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/13/2013 12:51:42 PM,The Police Department responded to the complaint and took action to fix the condition.,11/13/2013 05:19:02 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,True,False
26804642,12/04/2013 01:44:17 AM,12/04/2013 01:20:55 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/04/2013 09:44:17 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/04/2013 01:20:55 PM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,True,True
26778977,11/29/2013 02:34:21 AM,11/29/2013 03:17:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/29/2013 10:34:21 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/29/2013 03:15:55 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,True,True
26820894,12/05/2013 07:55:02 AM,03/18/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211.0,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,,Closed,01/09/2014 11:30:17 AM,The City has removed the graffiti from this property.,03/21/2014 04:24:29 PM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,True,True
16705611,05/21/2010 12:54:29 PM,01/20/2011 02:46:15 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,,Closed,11/24/2010 12:19:21 PM,The agency has declined the new tree request because the suggested location cannot be planted due to infrastructure conflicts.,01/20/2011 02:46:15 PM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",False,False,False
18366994,07/28/2010 07:28:26 PM,09/13/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,09/24/2010 11:08:27 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,False,False
18648978,09/10/2010 01:07:30 AM,09/10/2010 07:59:55 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/10/2010 09:07:30 AM,,09/10/2010 12:00:00 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,False,False
18795503,10/01/2010 01:07:30 AM,10/01/2010 05:14:24 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/01/2010 09:07:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2010 12:00:00 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,False,False
18992898,10/28/2010 06:58:31 PM,10/28/2010 08:10:53 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11211.0,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/29/2010 02:58:31 AM,The Police Department issued a summons in response to the complaint.,10/28/2010 12:00:00 AM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,False,False
19763703,02/04/2011 05:04:49 PM,03/22/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211,308 HOOPER STREET,HOOPER STREET,BROADWAY,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,04/11/2011 01:17:11 PM,01 BROOKLYN,3024640034.0,BROOKLYN,997037.0,196961.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70727996562436,-73.95387925971504,"(40.70727996562436, -73.95387925971505)",True,False,False
