Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26350703,09/20/2013 02:45:55 AM,09/20/2013 07:17:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/20/2013 10:45:55 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/20/2013 07:17:10 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26324923,09/16/2013 10:52:31 PM,09/16/2013 11:06:27 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/17/2013 06:52:31 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/16/2013 11:06:27 PM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26419073,10/02/2013 09:22:08 PM,10/03/2013 12:54:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/03/2013 05:22:08 AM,The Police Department responded to the complaint and took action to fix the condition.,10/03/2013 12:54:56 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26427902,10/04/2013 12:24:59 AM,10/04/2013 12:54:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/04/2013 08:24:59 AM,The Police Department responded to the complaint and took action to fix the condition.,10/04/2013 12:54:18 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26428003,10/03/2013 10:51:33 PM,10/04/2013 12:36:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/04/2013 06:51:33 AM,The Police Department responded to the complaint and took action to fix the condition.,10/04/2013 12:36:28 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26383153,09/27/2013 02:02:32 AM,09/27/2013 08:24:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/27/2013 10:02:32 AM,The Police Department responded to the complaint and took action to fix the condition.,09/27/2013 08:24:12 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26384915,09/26/2013 10:08:40 PM,09/26/2013 11:49:13 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/27/2013 06:08:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/26/2013 11:49:13 PM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26397772,09/28/2013 11:49:44 PM,09/29/2013 01:59:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/29/2013 07:49:44 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/29/2013 01:59:04 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26398982,09/28/2013 10:49:01 PM,09/28/2013 11:05:40 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/29/2013 06:49:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/28/2013 11:05:40 PM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26405108,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26406320,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26407102,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26408241,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",False,True,False
26409983,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",False,True,False
26410008,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26410019,09/30/2013 12:00:00 AM,10/16/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/16/2013 12:00:00 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",False,True,False
26500673,10/17/2013 10:46:36 PM,10/18/2013 02:07:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027.0,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/18/2013 06:46:36 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/18/2013 02:07:10 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,True
26485922,10/15/2013 09:52:04 PM,10/15/2013 10:32:09 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/16/2013 05:52:04 AM,The Police Department responded to the complaint and took action to fix the condition.,10/15/2013 10:32:09 PM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
26492414,10/15/2013 11:15:27 PM,10/16/2013 02:27:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/16/2013 07:15:27 AM,The Police Department responded to the complaint and took action to fix the condition.,10/16/2013 02:27:05 AM,09 MANHATTAN,1019930086.0,MANHATTAN,995559.0,236037.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",True,True,False
