Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27594508,03/08/2014 12:14:24 AM,03/08/2014 01:40:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11208.0,3162 FULTON STREET,FULTON STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,03/08/2014 08:14:24 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/08/2014 01:39:04 AM,05 BROOKLYN,,BROOKLYN,1018049.0,187659.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68169284216268,-73.87813895252266,"(40.68169284216269, -73.87813895252266)",True,False,False
29688469,01/11/2015 02:03:14 AM,01/11/2015 07:45:20 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/11/2015 10:03:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2015 07:45:21 AM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
30382649,04/12/2015 01:55:34 PM,04/12/2015 09:55:16 PM,NYPD,New York City Police Department,Drinking,In Public,Club/Bar/Restaurant,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/12/2015 09:55:34 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,04/12/2015 09:55:16 PM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
30474796,04/25/2015 12:05:05 AM,04/25/2015 03:43:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/25/2015 08:05:05 AM,The Police Department responded to the complaint and took action to fix the condition.,04/25/2015 03:43:26 AM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
30488446,04/26/2015 01:58:19 PM,04/26/2015 03:22:42 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/26/2015 09:58:19 PM,The Police Department responded to the complaint and took action to fix the condition.,04/26/2015 03:22:42 PM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
30534791,05/03/2015 03:32:26 AM,05/03/2015 07:28:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11208.0,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/03/2015 11:32:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/03/2015 07:28:55 AM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
31463219,09/05/2015 12:53:44 AM,09/05/2015 07:48:28 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/05/2015 08:53:44 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/05/2015 07:48:28 AM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
31523792,09/14/2015 12:02:18 AM,09/14/2015 03:11:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/14/2015 08:02:18 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/14/2015 03:11:05 AM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
31617432,09/26/2015 03:45:53 AM,09/26/2015 03:57:00 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11208.0,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/26/2015 11:45:53 AM,The Police Department responded to the complaint and took action to fix the condition.,09/26/2015 03:57:00 PM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
31766310,10/17/2015 01:25:28 AM,10/17/2015 02:00:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11208,3162 FULTON STREET,FULTON STREET,ARLINGTON AVENUE,LOGAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/17/2015 09:25:28 AM,The Police Department responded to the complaint and took action to fix the condition.,10/17/2015 02:00:25 AM,05 BROOKLYN,3041370023.0,BROOKLYN,1017987.0,187729.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68188521258296,-73.87836214048858,"(40.68188521258296, -73.87836214048858)",True,False,False
