Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
22735850,02/17/2012 04:01:00 PM,02/21/2012 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E1 Improper Disposal,Sidewalk,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,02/21/2012 12:00:00 PM,01 MANHATTAN,1000750046.0,MANHATTAN,982845.0,197321.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.708277208479245,-74.00506769426475,"(40.70827720847924, -74.00506769426475)",True,False,False
24106003,09/28/2012 03:07:00 PM,10/02/2012 09:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN ST,FULTON ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,10/02/2012 09:00:00 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",True,False,False
26338083,09/19/2013 12:16:30 AM,09/19/2013 12:38:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/19/2013 08:16:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/19/2013 12:38:46 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",True,False,False
28348764,06/26/2014 08:47:11 PM,06/26/2014 10:29:44 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10038,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/27/2014 04:47:11 AM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2014 10:29:44 PM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",False,False,False
29116999,10/21/2014 09:58:00 AM,10/23/2014 05:02:00 PM,DEP,Department of Environmental Protection,Water Conservation,Rooftank Leak Or Overflow (CKO),,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN ST,FULTON ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection attempted to inspect this complaint but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",10/23/2014 05:02:00 PM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",False,False,False
32834139,03/06/2016 02:01:09 AM,03/06/2016 02:10:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/06/2016 10:01:09 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/06/2016 02:10:09 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",True,True,False
34489276,10/08/2016 12:36:45 AM,10/08/2016 03:33:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/08/2016 08:36:45 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/08/2016 03:33:37 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",True,True,False
35077288,12/21/2016 08:26:59 AM,12/21/2016 08:36:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/21/2016 04:26:59 PM,The Police Department responded to the complaint and determined that police action was not necessary.,12/21/2016 08:36:14 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982839.0,197318.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.708268973234304,-74.00508933503502,"(40.708268973234304, -74.00508933503502)",True,True,False
16762545,05/30/2010 10:17:22 PM,05/31/2010 02:31:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/31/2010 06:17:22 AM,,05/31/2010 12:00:00 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982845.0,197321.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.708277208479245,-74.00506769426475,"(40.70827720847924, -74.00506769426475)",True,False,False
18662677,09/11/2010 03:38:43 AM,09/11/2010 04:57:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038.0,32 CLIFF STREET,CLIFF STREET,JOHN STREET,FULTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/11/2010 11:38:43 AM,,09/11/2010 12:00:00 AM,01 MANHATTAN,1000750046.0,MANHATTAN,982845.0,197321.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.708277208479245,-74.00506769426475,"(40.70827720847924, -74.00506769426475)",True,False,False
