Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26102771,08/10/2013 10:17:00 AM,08/12/2013 12:00:00 PM,DSNY,BCC - Queens East,Sanitation Condition,12 Dead Animals,Sidewalk,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,WHITESTONE EXPRESSWAY,33 AVENUE,,,ADDRESS,Flushing,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,08/12/2013 12:00:00 PM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,False,False
26766931,11/26/2013 06:03:03 PM,01/13/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,I 678,33 AVENUE,,,ADDRESS,Flushing,,,Closed,01/09/2014 11:30:17 AM,The City has removed the graffiti from this property.,01/21/2014 12:12:27 PM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,False,False
30183062,03/15/2015 06:28:00 PM,03/16/2015 04:45:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11354,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,WHITESTONE EXPY,33 AVE,,,ADDRESS,Flushing,,,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,03/16/2015 04:45:00 AM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",False,False,False
30220306,03/19/2015 08:43:37 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Sewage,Restaurant/Bar/Deli/Bakery,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,I 678,33 AVENUE,,,ADDRESS,FLUSHING,,,Pending,03/22/2015 08:43:37 AM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,03/19/2015 10:26:23 AM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,False,False
31203631,07/31/2015 01:53:02 PM,07/31/2015 02:13:58 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,I 678,33 AVENUE,,,ADDRESS,FLUSHING,,Precinct,Closed,07/31/2015 09:53:02 PM,The Police Department responded to the complaint and determined that police action was not necessary.,07/31/2015 02:13:58 PM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",False,False,False
31211128,07/31/2015 01:48:03 PM,07/31/2015 02:27:01 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,I 678,33 AVENUE,,,ADDRESS,FLUSHING,,Precinct,Closed,07/31/2015 09:48:03 PM,The Police Department responded to the complaint and determined that police action was not necessary.,07/31/2015 02:27:01 PM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",False,False,False
31394350,08/26/2015 09:40:58 AM,09/10/2015 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,,,,,ADDRESS,Flushing,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,09/10/2015 12:00:00 AM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,False,False
32659722,02/12/2016 07:41:00 AM,04/07/2016 10:15:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11354,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,WHITESTONE EXPY,33 AVE,,,ADDRESS,Flushing,,,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,04/07/2016 10:15:00 PM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,True,False
32759266,02/24/2016 07:41:00 AM,02/24/2016 08:10:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11354,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,WHITESTONE EXPY,33 AVE,,,ADDRESS,Flushing,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/24/2016 08:10:00 AM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,True,False
32780897,02/26/2016 09:22:00 AM,02/26/2016 09:35:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11354.0,32-17 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,WHITESTONE EXPY,33 AVE,,,ADDRESS,Flushing,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/26/2016 09:35:00 AM,07 QUEENS,4049430001.0,QUEENS,1029239.0,218365.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76592341952425,-73.83758863863389,"(40.76592341952425, -73.83758863863389)",True,True,False
