Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26228435,08/31/2013 01:35:07 AM,08/31/2013 02:26:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/31/2013 09:35:07 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 02:26:20 AM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,True,False
26274770,09/08/2013 12:38:56 AM,09/08/2013 01:54:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/08/2013 08:38:56 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/08/2013 01:54:10 AM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,True,False
26319958,09/15/2013 07:07:51 PM,09/15/2013 07:45:47 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/16/2013 03:07:51 AM,The Police Department responded to the complaint and took action to fix the condition.,09/15/2013 07:45:47 PM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,True,False
19838215,02/15/2011 05:16:00 PM,03/07/2011 12:00:00 PM,DSNY,A - Brooklyn,Other Enforcement,E2A Storage Of Receptacles,Sidewalk,11235.0,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/07/2011 12:00:00 PM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,False,False
23654225,07/20/2012 12:42:00 PM,08/11/2012 09:45:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11235.0,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG ST,BRIGHAM ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",08/11/2012 09:45:00 AM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",False,False,False
23656343,07/20/2012 12:45:00 PM,07/20/2012 12:55:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11235.0,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG ST,BRIGHAM ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",07/20/2012 12:55:00 PM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",False,False,False
27697412,03/22/2014 08:50:27 PM,03/22/2014 09:36:52 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/23/2014 04:50:27 AM,The Police Department responded to the complaint and took action to fix the condition.,03/22/2014 09:36:52 PM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",False,True,False
28069836,05/19/2014 12:57:20 AM,05/19/2014 01:59:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235.0,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/19/2014 08:57:20 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/19/2014 01:59:13 AM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,True,True
28114767,05/25/2014 12:12:47 AM,05/25/2014 01:26:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11235,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/25/2014 08:12:47 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/25/2014 01:26:01 AM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,True,True
15824666,01/28/2010 12:30:22 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,No Permit or License,Restaurant/Bar/Deli/Bakery,11235.0,3202 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,,,Pending,03/06/2010 12:30:22 PM,,01/29/2010 10:50:46 AM,15 BROOKLYN,3088150525.0,BROOKLYN,1002923.0,152098.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.58413030722871,-73.93277355495991,"(40.58413030722871, -73.93277355495991)",True,False,False
