Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
31610242,09/24/2015 02:50:53 AM,09/24/2015 05:10:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/24/2015 10:50:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/24/2015 05:10:53 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31613502,09/25/2015 11:45:00 PM,09/26/2015 01:36:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/26/2015 07:45:00 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/26/2015 01:36:38 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31625312,09/27/2015 07:49:47 PM,09/29/2015 11:34:24 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,,Closed,10/01/2015 07:49:47 PM,The Department of Consumer Affairs has determined that this issue is not within its jurisdiction. It has been referred to the New York Police Department.,09/29/2015 11:34:24 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31654195,10/01/2015 11:47:45 PM,10/02/2015 02:07:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/02/2015 07:47:45 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/02/2015 02:07:37 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31658710,10/02/2015 01:54:13 AM,10/02/2015 02:23:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/02/2015 09:54:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/02/2015 02:23:44 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31671627,10/04/2015 12:19:57 AM,10/04/2015 02:28:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/04/2015 08:19:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/04/2015 02:28:18 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31672892,10/04/2015 01:00:26 AM,10/04/2015 02:27:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/04/2015 09:00:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/04/2015 02:27:13 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31672945,10/04/2015 01:09:59 AM,10/04/2015 02:27:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/04/2015 09:09:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/04/2015 02:27:12 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31763060,10/17/2015 01:34:14 AM,10/17/2015 02:01:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/17/2015 09:34:14 AM,The Police Department responded to the complaint and took action to fix the condition.,10/17/2015 02:01:39 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
31763114,10/17/2015 01:37:06 AM,10/17/2015 02:38:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Television,Club/Bar/Restaurant,10003,321 FIRST AVENUE,FIRST AVENUE,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/17/2015 09:37:06 AM,The Police Department responded to the complaint and took action to fix the condition.,10/17/2015 02:38:11 AM,06 MANHATTAN,1009240034.0,MANHATTAN,989682.0,206744.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73413951274722,-73.9803997154837,"(40.73413951274722, -73.98039971548371)",True,True,False
