Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26314912,09/15/2013 01:44:59 AM,09/15/2013 03:06:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/15/2013 09:44:59 AM,The Police Department responded to the complaint and took action to fix the condition.,09/15/2013 03:06:36 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,False,False
26306773,09/14/2013 01:03:41 AM,09/14/2013 01:43:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/14/2013 09:03:41 AM,The Police Department responded to the complaint and took action to fix the condition.,09/14/2013 01:43:02 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,False,False
26352078,09/21/2013 01:08:20 AM,09/21/2013 03:09:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/21/2013 09:08:20 AM,The Police Department issued a summons in response to the complaint.,09/21/2013 03:09:02 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,False,False
26360496,09/22/2013 03:50:28 AM,09/22/2013 04:50:23 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11231,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/22/2013 11:50:28 AM,The Police Department responded to the complaint and a report was prepared.,09/22/2013 04:50:23 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,False,False
26478283,10/13/2013 01:05:47 AM,10/13/2013 01:29:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/13/2013 09:05:47 AM,The Police Department responded to the complaint and took action to fix the condition.,10/13/2013 01:29:46 AM,06 BROOKLYN,,BROOKLYN,983022.0,187451.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68118637324323,-74.00442747364059,"(40.68118637324323, -74.00442747364059)",True,False,False
26508439,10/19/2013 12:34:20 AM,10/19/2013 06:43:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/19/2013 08:34:20 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/19/2013 06:43:29 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
26567697,10/26/2013 02:14:40 AM,10/26/2013 02:26:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/26/2013 10:14:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/26/2013 02:26:28 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,False,False
26569203,10/27/2013 12:24:37 AM,10/27/2013 01:13:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/27/2013 08:24:37 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/27/2013 01:13:09 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
26698845,11/16/2013 05:42:38 PM,11/16/2013 10:33:37 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/17/2013 01:42:38 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/16/2013 10:33:37 PM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",False,False,False
26682878,11/13/2013 05:16:21 PM,11/13/2013 08:32:57 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11231,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/14/2013 01:16:21 AM,The Police Department responded to the complaint and took action to fix the condition.,11/13/2013 08:32:57 PM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",False,False,False
26782763,11/29/2013 11:51:58 PM,11/30/2013 12:38:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,11/30/2013 07:51:58 AM,The Police Department responded to the complaint and took action to fix the condition.,11/30/2013 12:38:04 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
26787695,12/01/2013 01:44:33 AM,12/01/2013 03:12:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,12/01/2013 09:44:33 AM,The Police Department responded to the complaint and took action to fix the condition.,12/01/2013 03:11:23 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
26826272,10/12/2013 01:22:15 AM,10/12/2013 03:24:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/12/2013 09:22:15 AM,The Police Department responded to the complaint and took action to fix the condition.,10/12/2013 03:23:48 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,False,False
26831052,12/07/2013 03:02:08 AM,12/07/2013 03:20:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,12/07/2013 11:02:08 AM,The Police Department responded to the complaint and took action to fix the condition.,12/07/2013 03:20:57 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
26916837,12/20/2013 01:33:51 AM,12/20/2013 01:51:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,12/20/2013 09:33:51 AM,The Police Department responded to the complaint and took action to fix the condition.,12/20/2013 01:51:31 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
27124592,01/12/2014 01:09:12 AM,01/12/2014 02:19:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,01/12/2014 09:09:12 AM,The Police Department responded to the complaint and took action to fix the condition.,01/12/2014 02:19:37 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
27190127,01/19/2014 02:39:38 AM,01/19/2014 02:50:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,01/19/2014 10:39:38 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/19/2014 02:50:07 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
27247065,01/26/2014 12:54:22 AM,01/26/2014 01:41:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN,,Precinct,Closed,01/26/2014 08:54:22 AM,The Police Department responded to the complaint and took action to fix the condition.,01/26/2014 01:41:07 AM,06 BROOKLYN,,BROOKLYN,983069.0,187414.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68108482304445,-74.00425801173203,"(40.68108482304445, -74.00425801173203)",True,False,False
28935581,09/23/2014 12:00:00 AM,09/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/28/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",False,True,False
28936591,09/23/2014 12:00:00 AM,09/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/28/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,True,False
28938003,09/23/2014 12:00:00 AM,09/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/28/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,True,False
28938250,09/23/2014 12:00:00 AM,09/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/28/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,True,False
28938918,09/23/2014 12:00:00 AM,09/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/28/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,True,False
28941731,09/23/2014 12:00:00 AM,09/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/28/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,True,False
29142347,10/24/2014 12:00:00 AM,10/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11231.0,323 COLUMBIA STREET,COLUMBIA STREET,WOODHULL STREET,HAMILTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",10/30/2014 12:00:00 AM,06 BROOKLYN,3003630002.0,BROOKLYN,983017.0,187522.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681381251414784,-74.00444551380453,"(40.68138125141478, -74.00444551380453)",True,True,False
