Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16911786,06/21/2010 10:45:00 AM,06/22/2010 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11237.0,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,06/22/2010 12:00:00 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,False,False
19052652,11/03/2010 04:00:00 PM,11/05/2010 12:00:00 PM,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11237.0,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,11/05/2010 12:00:00 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,False,False
19083287,11/08/2010 05:20:00 PM,11/08/2010 05:20:00 PM,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11237.0,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,11/08/2010 12:00:00 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,False,False
22638915,02/01/2012 06:14:00 PM,02/02/2012 12:00:00 PM,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11237.0,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/02/2012 12:00:00 PM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,True,False
22838395,03/07/2012 09:06:00 AM,03/07/2012 09:46:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11237.0,334 MENAHAN STREET,MENAHAN STREET,IRVING AVE,WYCKOFF AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/07/2012 09:46:00 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,True,False
23310004,05/28/2012 03:32:00 PM,05/28/2012 06:30:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11237.0,334 MENAHAN STREET,MENAHAN STREET,IRVING AVE,WYCKOFF AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",05/28/2012 06:30:00 PM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,True,True
15779386,01/21/2010 06:30:43 PM,10/13/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11237,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,11/02/2010 03:49:50 PM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,False,False
22658831,02/05/2012 03:18:19 AM,02/05/2012 05:30:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/05/2012 11:18:19 AM,The Police Department responded to the complaint and took action to fix the condition.,02/05/2012 05:29:59 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,True,False
22751765,02/21/2012 07:57:00 AM,03/06/2012 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11237,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/06/2012 12:00:00 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,True,False
22877710,03/13/2012 03:43:47 PM,03/21/2012 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11237,334 MENAHAN STREET,MENAHAN STREET,IRVING AVENUE,WYCKOFF AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/21/2012 12:00:00 AM,04 BROOKLYN,3033190030.0,BROOKLYN,1008035.0,194700.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70105132656151,-73.91421917246424,"(40.70105132656151, -73.91421917246424)",True,True,False
