Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
23529825,06/30/2012 09:44:00 AM,08/09/2012 07:45:00 AM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",,11385.0,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO ST,WOODBINE ST,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/09/2012 07:45:00 AM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",False,False,False
23739789,08/02/2012 06:42:00 PM,08/10/2012 12:00:00 PM,DSNY,P - Commercial Recycling Citywide,Recycling Enforcement,ER6 Comm. Recyc. (Comm. Tenant),Sidewalk,11385.0,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO STREET,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/10/2012 12:00:00 PM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",False,False,False
26240711,09/02/2013 08:24:00 PM,09/05/2013 05:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",,11385.0,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO ST,WOODBINE ST,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/05/2013 05:45:00 PM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",False,False,False
29111531,10/20/2014 01:31:06 PM,10/21/2014 06:21:39 AM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11385.0,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO STREET,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,10/28/2014 01:31:06 PM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,10/21/2014 06:21:39 AM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",False,True,False
19719584,01/30/2011 01:10:00 PM,02/06/2011 12:00:00 PM,DSNY,A - Queens,Snow,E9 Snow / Icy Sidewalk,Sidewalk,11385,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO STREET,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/06/2011 12:00:00 PM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",False,False,False
19110416,11/12/2010 06:30:10 PM,11/24/2010 12:08:10 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11385,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO STREET,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,11/22/2010 06:30:10 PM,The condition has been inspected/investigated. See customer notes for more information.,11/24/2010 12:08:10 PM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,OTHER,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",False,False,False
19942283,03/02/2011 09:43:28 PM,03/18/2011 01:07:20 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Mandatory Tip,,11385,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO STREET,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,03/18/2011 02:58:47 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",03/18/2011 01:07:20 AM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",True,False,False
22364510,12/20/2011 09:57:45 AM,12/20/2011 03:08:10 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11385,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NYCTA SUBWAY,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,12/20/2011 05:57:45 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/20/2011 03:08:10 PM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",True,False,False
22399583,12/27/2011 04:33:50 PM,02/26/2012 06:15:56 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11385.0,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NYCTA SUBWAY,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,02/25/2012 04:33:50 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",02/26/2012 06:15:56 AM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",True,False,False
22616338,01/29/2012 12:31:02 AM,04/03/2012 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11385,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NYCTA SUBWAY,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/03/2012 12:00:00 AM,05 QUEENS,4034490006.0,QUEENS,1009254.0,194518.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70054841895461,-73.90982351617271,"(40.700548418954604, -73.9098235161727)",True,False,False
