Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
28328973,06/24/2014 10:09:03 AM,10/01/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,,Closed,09/12/2014 02:25:36 PM,The City has removed the graffiti from this property.,10/06/2014 04:11:52 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,False,False
33565919,06/10/2016 03:00:32 PM,08/31/2016 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11206.0,350 MESEROLE STREET,MESEROLE STREET,,,,,ADDRESS,BROOKLYN,,,Closed,08/12/2016 02:46:12 PM,The City has removed the graffiti from this property.,09/14/2016 01:06:44 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,True,False
24841833,01/23/2013 02:04:00 PM,01/28/2013 09:25:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY ST,BOGART ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner.",01/28/2013 09:25:00 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,False,False
24842816,01/23/2013 02:08:00 PM,01/23/2013 02:09:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY ST,BOGART ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/23/2013 02:09:00 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,False,False
24842952,01/23/2013 02:44:00 PM,01/23/2013 02:45:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY ST,BOGART ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/23/2013 02:45:00 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,False,False
27769833,04/02/2014 02:30:31 PM,05/22/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,,Closed,05/02/2014 03:32:17 PM,The City has removed the graffiti from this property.,05/28/2014 03:58:50 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,False,False
29454685,12/08/2014 02:34:16 PM,12/15/2014 03:24:43 PM,DOT,Department of Transportation,Curb Condition,Defacement,Curb,11206,350 MESEROLE STREET,MESEROLE STREET,WATERBURY STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,,Closed,01/07/2015 02:34:16 PM,The Department of Transportation inspected the condition  you reported and issued a notice to the responsible party to correct the condition.,12/15/2014 03:24:43 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",False,False,False
30240621,03/23/2015 11:47:46 AM,05/23/2015 06:35:38 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,,Closed,05/22/2015 11:47:46 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/23/2015 06:35:38 AM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",True,False,False
34955402,12/07/2016 08:46:32 AM,12/29/2016 03:13:33 PM,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,,Closed,06/05/2017 08:59:58 AM,The Department of Transportation has completed the request or corrected the condition.,12/29/2016 03:13:33 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",False,True,False
35066236,12/20/2016 04:23:26 PM,12/29/2016 03:13:31 PM,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11206.0,350 MESEROLE STREET,MESEROLE STREET,WATERBURY STREET,BOGART STREET,,,ADDRESS,BROOKLYN,,,Closed,06/19/2017 05:55:09 AM,The Department of Transportation has completed the request or corrected the condition.,12/29/2016 03:13:31 PM,01 BROOKLYN,3030560035.0,BROOKLYN,1002291.0,197541.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70886277532722,-73.9349273425437,"(40.70886277532722, -73.9349273425437)",False,True,False
