Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27512051,02/24/2014 12:42:36 PM,02/24/2014 02:21:08 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11237,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/24/2014 08:42:36 PM,The Police Department issued a summons in response to the complaint.,02/24/2014 02:20:38 PM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",False,False,False
26400345,09/29/2013 01:42:50 AM,09/29/2013 05:18:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/29/2013 09:42:50 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/29/2013 05:18:58 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26478674,10/13/2013 01:51:16 AM,10/13/2013 03:20:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/13/2013 09:51:16 AM,The Police Department responded to the complaint and took action to fix the condition.,10/13/2013 03:20:01 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26488810,10/16/2013 01:15:58 AM,10/16/2013 01:36:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/16/2013 09:15:58 AM,The Police Department responded to the complaint and took action to fix the condition.,10/16/2013 01:36:51 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26488811,10/16/2013 01:13:20 AM,10/16/2013 01:36:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/16/2013 09:13:20 AM,The Police Department responded to the complaint and took action to fix the condition.,10/16/2013 01:36:52 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26614006,11/03/2013 03:36:07 AM,11/03/2013 05:01:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/03/2013 11:36:07 AM,The Police Department responded to the complaint and took action to fix the condition.,11/03/2013 05:01:48 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26572838,10/27/2013 02:41:53 AM,10/27/2013 04:01:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/27/2013 10:41:53 AM,The Police Department responded to the complaint and took action to fix the condition.,10/27/2013 04:01:34 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26703607,11/17/2013 02:22:06 AM,11/17/2013 07:07:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/17/2013 10:22:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/17/2013 07:07:20 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26742623,11/24/2013 01:50:53 AM,11/24/2013 02:17:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/24/2013 09:50:53 AM,The Police Department responded to the complaint and took action to fix the condition.,11/24/2013 02:17:40 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
26786813,12/01/2013 02:04:02 AM,12/01/2013 02:31:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,354 MELROSE STREET,MELROSE STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/01/2013 10:04:02 AM,The Police Department responded to the complaint and took action to fix the condition.,12/01/2013 02:31:41 AM,04 BROOKLYN,3031650027.0,BROOKLYN,1004206.0,195658.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703690274387974,-73.92802565154706,"(40.70369027438798, -73.92802565154707)",True,False,False
