Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26641448,11/07/2013 02:16:32 AM,11/07/2013 04:10:11 AM,NYPD,New York City Police Department,Drinking,After Hours - Licensed Est,Club/Bar/Restaurant,10019.0,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,11/07/2013 10:16:32 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/07/2013 04:09:38 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,True,False
27249256,01/26/2014 10:24:18 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10019.0,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Open,,"The Taxi and Limousine Commission requires you to attend a hearing to process a complaint against a yellow cab driver. Since you are not willing to attend a hearing, your complaint will be used for planning purposes. Please note your Service Request number for future reference.",,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",False,True,False
17591471,07/06/2010 09:57:00 AM,07/06/2010 12:00:00 PM,DSNY,Manhattan 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10019.0,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,07/06/2010 12:00:00 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,False,False
18314671,07/21/2010 08:19:00 AM,07/21/2010 12:00:00 PM,DSNY,Manhattan 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10019.0,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation removed the items.,07/21/2010 12:00:00 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,False,False
21574287,10/03/2011 12:31:00 PM,10/11/2011 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E1 Improper Disposal,Sidewalk,10019.0,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,10/11/2011 12:00:00 PM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,False,False
19104550,11/11/2010 01:30:41 PM,11/24/2010 10:37:59 AM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Dust from Construction,Commercial Building,10019,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,12/26/2010 01:30:41 PM,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,11/24/2010 10:37:59 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,False,False
19198295,11/24/2010 10:20:11 AM,02/17/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,10019.0,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/17/2011 12:00:00 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,False,False
20065579,03/19/2011 03:38:27 PM,04/14/2011 02:12:47 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10019,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,04/14/2011 12:07:53 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,04/14/2011 02:12:47 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",False,False,False
20140967,03/30/2011 11:34:08 AM,03/30/2011 11:34:08 AM,DOB,Department of Buildings,Scaffold Safety,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,,10019,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/30/2011 12:00:00 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",True,False,False
20376070,05/06/2011 01:22:41 PM,08/04/2011 09:03:40 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10019,355 WEST 52 STREET,WEST 52 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,07/11/2011 10:43:01 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,08/04/2011 09:03:40 AM,04 MANHATTAN,1010430011.0,MANHATTAN,987932.0,217692.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.76418991489161,-73.98670824584094,"(40.76418991489161, -73.98670824584094)",False,False,False
