Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26216486,08/30/2013 01:02:14 AM,08/30/2013 02:05:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,08/30/2013 09:02:14 AM,The Police Department issued a summons in response to the complaint.,08/30/2013 02:05:43 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26316515,09/15/2013 02:12:20 AM,09/15/2013 04:17:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/15/2013 10:12:20 AM,The Police Department responded to the complaint and took action to fix the condition.,09/15/2013 04:17:18 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26350487,09/21/2013 12:52:53 AM,09/21/2013 02:50:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/21/2013 08:52:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/21/2013 02:50:12 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26435336,10/05/2013 01:34:34 AM,10/05/2013 07:33:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,10/05/2013 09:34:34 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/05/2013 07:33:01 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26437412,10/05/2013 02:04:46 AM,10/05/2013 03:30:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11103,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,10/05/2013 10:04:46 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/05/2013 03:30:18 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26383996,09/27/2013 12:15:13 AM,09/27/2013 02:16:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/27/2013 08:15:13 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/27/2013 02:16:53 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26396930,09/28/2013 11:12:38 PM,09/29/2013 12:56:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103.0,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/29/2013 07:12:38 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/29/2013 12:56:37 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26397969,09/28/2013 02:31:55 AM,09/28/2013 04:18:17 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103.0,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/28/2013 10:31:55 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/28/2013 04:18:17 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26398247,09/28/2013 02:37:17 AM,09/28/2013 04:17:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103.0,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/28/2013 10:37:17 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/28/2013 04:17:14 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
26402390,09/29/2013 02:46:03 AM,09/29/2013 03:10:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103.0,36-11 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,09/29/2013 10:46:03 AM,The Police Department issued a summons in response to the complaint.,09/29/2013 03:10:45 AM,01 QUEENS,4006300044.0,QUEENS,1007185.0,217977.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",True,True,False
