Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16389698,04/06/2010 01:31:00 PM,04/07/2010 12:00:00 PM,DSNY,A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,Sidewalk,10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,04/07/2010 12:00:00 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,OTHER,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
29174728,10/30/2014 01:34:09 AM,10/30/2014 05:41:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/30/2014 09:34:09 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/30/2014 05:41:37 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,PHONE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
29584334,12/27/2014 02:53:33 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Handwashing,Other (Explain Below),10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,,Pending,02/02/2015 02:53:33 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,12/29/2014 10:14:04 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,PHONE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
30209362,03/18/2015 06:39:50 PM,05/18/2015 06:36:16 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10466,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,,Closed,05/17/2015 06:39:50 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/18/2015 06:36:16 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,PHONE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
30286345,03/29/2015 05:52:11 PM,05/29/2015 06:25:53 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,,Closed,05/28/2015 05:52:11 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/29/2015 06:25:53 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,ONLINE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
30419621,04/17/2015 07:01:53 PM,06/17/2015 06:25:27 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Other (Explain Below),10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,,Closed,06/16/2015 07:01:53 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/17/2015 06:25:27 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,ONLINE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
31653020,10/01/2015 01:52:19 AM,10/01/2015 12:42:23 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/01/2015 09:52:19 AM,The Police Department reviewed your complaint and provided additional information below.,10/01/2015 12:42:23 PM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,PHONE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
33318465,05/09/2016 04:12:54 PM,05/12/2016 01:28:17 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466.0,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/10/2016 12:12:54 AM,The Police Department reviewed your complaint and provided additional information below.,05/12/2016 01:28:17 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,ONLINE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
36238397,05/21/2017 12:22:17 AM,05/24/2017 01:20:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/21/2017 08:22:17 AM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,05/24/2017 01:20:05 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,PHONE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,True,False
16674624,05/17/2010 11:06:42 PM,05/18/2010 01:34:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466,3601 BOSTON ROAD,BOSTON ROAD,EAST 222 STREET,EAST 223 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/18/2010 07:06:42 AM,,05/18/2010 12:00:00 AM,12 BRONX,2048880002.0,BRONX,1027618.0,259620.0,PHONE,Unspecified,BRONX,,,,,,,,40.87916461676343,-73.84317384125794,"(40.879164616763425, -73.84317384125794)",True,False,False
