Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
23268726,05/21/2012 10:42:00 AM,05/30/2012 11:30:00 AM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON ST,FRANKLIN ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,05/30/2012 11:30:00 AM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,False
24210226,10/16/2012 12:15:00 PM,11/19/2012 03:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON ST,FRANKLIN ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/19/2012 03:45:00 PM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,False
24726982,01/05/2013 11:46:45 PM,01/06/2013 03:22:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/06/2013 07:46:45 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/06/2013 03:22:01 AM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,False
24737911,01/07/2013 10:21:31 PM,01/07/2013 11:18:07 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/08/2013 06:21:31 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2013 11:17:27 PM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,False
24764414,01/11/2013 12:26:17 AM,01/11/2013 01:22:40 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/11/2013 08:26:17 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/11/2013 01:22:05 AM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,False
24914307,02/01/2013 01:14:00 PM,02/01/2013 11:55:00 PM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON ST,FRANKLIN ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,02/01/2013 11:55:00 PM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,True
24962096,02/08/2013 10:01:30 PM,02/08/2013 10:46:48 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/09/2013 06:01:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/08/2013 10:45:52 PM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,True
24969078,02/09/2013 10:42:11 PM,02/09/2013 11:14:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/10/2013 06:42:11 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/09/2013 11:13:52 PM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,True
26139993,01/12/2013 06:25:21 PM,01/12/2013 06:35:51 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013.0,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/13/2013 02:25:21 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/12/2013 06:35:07 PM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",True,True,False
15965926,02/09/2010 06:16:02 PM,02/10/2010 06:19:46 AM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,10013,363 GREENWICH STREET,GREENWICH STREET,HARRISON STREET,FRANKLIN STREET,,,ADDRESS,NEW YORK,,,Closed,03/01/2010 06:16:02 PM,,02/10/2010 12:00:00 AM,01 MANHATTAN,1001817502.0,MANHATTAN,981386.0,201285.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.719157090690274,-74.01033184746369,"(40.719157090690274, -74.01033184746368)",False,False,False
