Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26839606,12/08/2013 11:28:35 AM,12/09/2013 06:51:21 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,,Closed,12/18/2013 11:28:35 AM,The Department of Transportation inspected the condition you reported and temporarily addressed the condition. The Agency will notify the responsible party.,12/09/2013 06:51:21 AM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,True,True
16270363,03/21/2010 01:36:00 PM,03/25/2010 09:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10038.0,37 ST JAMES PLACE,ST JAMES PLACE,MADISON ST,JAMES ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.,03/25/2010 09:00:00 AM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",True,False,False
26917659,12/19/2013 01:49:00 AM,12/23/2013 10:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON ST,JAMES ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/23/2013 10:00:00 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",True,True,True
18759889,09/24/2010 10:50:45 AM,09/30/2010 01:14:59 PM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,,Closed,12/23/2010 10:50:45 AM,The condition has been inspected/investigated. See customer notes for more information.,09/30/2010 12:00:00 AM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
18936389,10/20/2010 11:27:02 AM,11/03/2010 03:16:55 PM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,,Closed,01/18/2011 11:27:02 AM,The condition has been inspected/investigated. See customer notes for more information.,11/03/2010 12:00:00 AM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
19162704,11/19/2010 10:53:55 AM,11/24/2010 10:15:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10038.0,37 ST JAMES PLACE,ST JAMES PLACE,JAMES STREET,MADISON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Transportation inspected this complaint and found that the problem was fixed.,11/24/2010 10:15:00 AM,Unspecified MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
19247011,12/02/2010 09:16:43 AM,12/02/2010 03:08:10 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/02/2010 05:16:43 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/02/2010 03:08:10 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
21632158,10/12/2011 08:46:00 AM,10/13/2011 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,10/13/2011 12:00:00 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",True,False,False
19392158,12/21/2010 02:09:36 PM,01/03/2011 01:45:15 PM,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,,Closed,06/21/2011 10:23:39 AM,The Department of Transportation has completed the request or corrected the condition.,01/03/2011 01:45:16 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
21398764,09/09/2011 10:45:09 AM,09/09/2011 02:35:02 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/09/2011 06:45:09 PM,The Police Department issued a summons in response to the complaint.,09/09/2011 02:35:02 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
21483081,09/21/2011 08:21:29 AM,10/13/2011 02:02:26 PM,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,,Closed,03/20/2012 08:45:27 AM,The Department of Transportation has completed the request or corrected the condition.,10/13/2011 02:02:26 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
22274797,12/07/2011 07:29:39 AM,12/07/2011 08:15:48 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/07/2011 03:29:39 PM,The Police Department issued a summons in response to the complaint.,12/07/2011 08:15:48 AM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
22279460,12/07/2011 07:33:42 AM,12/07/2011 08:15:49 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/07/2011 03:33:42 PM,The Police Department issued a summons in response to the complaint.,12/07/2011 08:15:49 AM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
22248009,12/02/2011 02:51:04 PM,12/02/2011 03:15:32 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10038,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/02/2011 10:51:04 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/02/2011 03:15:32 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
24440571,11/19/2012 10:29:35 AM,11/19/2012 01:34:14 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10038.0,37 ST JAMES PLACE,ST JAMES PLACE,MADISON STREET,JAMES STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/19/2012 06:29:35 PM,The Police Department responded to the complaint and took action to fix the condition.,11/19/2012 01:34:14 PM,03 MANHATTAN,1001160049.0,MANHATTAN,984468.0,198770.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71225447845146,-73.99921364891883,"(40.71225447845146, -73.99921364891883)",False,False,False
