Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15890263,01/30/2010 11:04:34 AM,02/03/2015 03:25:21 PM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Street,10301.0,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,03/01/2010 11:04:34 AM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,02/03/2015 03:25:21 PM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
18655812,09/10/2010 11:54:44 PM,09/11/2010 02:18:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301.0,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/11/2010 07:54:44 AM,,09/11/2010 12:00:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
18655834,09/10/2010 11:55:01 PM,09/11/2010 02:18:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301.0,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/11/2010 07:55:01 AM,,09/11/2010 12:00:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
18665653,09/11/2010 12:05:05 AM,09/11/2010 12:05:05 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10301.0,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,10/29/2010 12:00:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
18811842,10/02/2010 02:57:27 AM,10/02/2010 03:35:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301.0,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/02/2010 10:57:27 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/02/2010 12:00:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
18906392,10/16/2010 03:43:50 PM,10/16/2010 04:03:38 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/16/2010 11:43:50 PM,The Police Department responded to the complaint and determined that police action was not necessary.,10/16/2010 12:00:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
19918453,02/27/2011 12:18:24 AM,02/27/2011 03:25:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/27/2011 08:18:24 AM,The Police Department responded to the complaint and took action to fix the condition.,02/27/2011 03:25:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
19918454,02/27/2011 01:04:02 AM,02/27/2011 03:24:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/27/2011 09:04:02 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/27/2011 03:24:00 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
19921456,02/27/2011 02:21:05 AM,02/27/2011 08:03:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/27/2011 10:21:05 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/27/2011 08:03:45 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
19966439,03/05/2011 11:57:45 PM,03/06/2011 12:40:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301.0,382 FOREST AVENUE,FOREST AVENUE,OAKWOOD AVENUE,SHARON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,03/06/2011 07:57:45 AM,The Police Department responded to the complaint and took action to fix the condition.,03/06/2011 12:40:35 AM,01 STATEN ISLAND,5002520006.0,STATEN ISLAND,955905.0,169179.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.630988472444436,-74.10211919650351,"(40.63098847244444, -74.10211919650352)",True,False,False
