Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16608593,05/07/2010 08:29:39 PM,05/07/2010 11:00:11 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/08/2010 04:29:39 AM,,05/07/2010 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,False,False
16794542,06/05/2010 02:24:21 AM,06/05/2010 04:33:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11234,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/05/2010 10:24:21 AM,,06/05/2010 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,False,False
17552451,06/30/2010 08:54:40 PM,06/30/2010 11:29:09 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/01/2010 04:54:40 AM,,06/30/2010 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,False,False
17552462,06/30/2010 08:47:33 PM,06/30/2010 11:29:09 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/01/2010 04:47:33 AM,,06/30/2010 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,False,False
18365202,07/28/2010 11:05:36 AM,08/26/2010 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11234,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,08/26/2010 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,False,False
18705820,09/18/2010 12:28:43 AM,09/18/2010 04:11:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234.0,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/18/2010 08:28:43 AM,,09/18/2010 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,False,False
21310022,09/01/2011 02:54:02 PM,09/01/2011 10:07:01 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11234.0,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2011 10:54:02 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2011 10:07:01 PM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,True,False
21310023,09/01/2011 03:00:11 PM,09/01/2011 10:07:03 PM,NYPD,New York City Police Department,Drinking,After Hours - Licensed Est,Club/Bar/Restaurant,11234.0,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2011 11:00:11 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2011 10:07:03 PM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,True,False
21347764,09/01/2011 02:52:19 PM,01/25/2012 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11234.0,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/25/2012 12:00:00 AM,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,True,False
22415545,12/29/2011 07:20:39 PM,12/29/2011 07:21:15 PM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11234.0,3858 FLATLANDS AVENUE,FLATLANDS AVENUE,KIMBALL STREET,LOTTS LANE,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,18 BROOKLYN,3078590141.0,BROOKLYN,1001655.0,165152.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61996345555821,-73.93730496424227,"(40.6199634555582, -73.93730496424226)",True,True,False
