Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26236014,08/31/2013 11:18:39 PM,09/01/2013 07:07:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/01/2013 07:18:39 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 07:07:29 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26236986,08/31/2013 11:01:59 PM,09/01/2013 07:08:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/01/2013 07:01:59 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 07:08:31 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26229063,08/31/2013 01:39:04 AM,08/31/2013 06:06:11 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,08/31/2013 09:39:04 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 06:06:11 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26270612,09/07/2013 11:30:15 PM,09/08/2013 01:11:02 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/08/2013 07:30:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/08/2013 01:11:02 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26309867,09/13/2013 10:05:11 PM,09/13/2013 11:34:52 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/14/2013 06:05:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/13/2013 11:34:52 PM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26354767,09/21/2013 10:39:46 PM,09/21/2013 10:49:38 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/22/2013 06:39:46 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/21/2013 10:49:38 PM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26356539,09/21/2013 07:08:21 PM,09/21/2013 09:08:36 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/22/2013 03:08:21 AM,The Police Department responded to the complaint and took action to fix the condition.,09/21/2013 09:08:36 PM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26356902,09/21/2013 03:27:48 AM,09/21/2013 07:04:30 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/21/2013 11:27:48 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/21/2013 07:04:31 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26395081,09/28/2013 12:16:53 AM,09/28/2013 06:57:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304.0,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/28/2013 08:16:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/28/2013 06:57:20 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
26398451,09/28/2013 11:31:15 PM,09/29/2013 12:54:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304.0,388 VAN DUZER STREET,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/29/2013 07:31:15 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/29/2013 12:54:27 AM,01 STATEN ISLAND,5005180004.0,STATEN ISLAND,962034.0,168316.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62863721194139,-74.08003527764737,"(40.62863721194139, -74.08003527764738)",True,False,False
