Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15723148,01/13/2010 04:16:20 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Commercial Building,10002.0,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Assigned,02/19/2010 04:16:20 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/14/2010 03:55:29 PM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
23892243,08/29/2012 10:34:22 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10002,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Assigned,10/05/2012 10:34:22 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",08/29/2012 04:17:37 PM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,True,False
19321561,12/11/2010 12:54:50 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Commercial Building,10002.0,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Assigned,01/17/2011 12:54:50 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/13/2010 04:12:08 PM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
21533338,09/27/2011 09:46:00 AM,10/11/2011 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10002.0,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,10/11/2011 12:00:00 PM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
23456025,06/20/2012 11:16:00 AM,06/22/2012 12:00:00 PM,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10002.0,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/22/2012 12:00:00 PM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,True,False
16021151,02/17/2010 07:58:16 PM,02/18/2010 10:48:19 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10002,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Closed,02/21/2010 07:58:16 PM,,02/18/2010 12:00:00 AM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
16021193,02/17/2010 08:04:38 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10002,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Pending,03/03/2010 08:04:38 PM,,02/25/2010 12:00:00 AM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
16025133,02/17/2010 06:03:09 PM,03/06/2010 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",03/06/2010 12:00:00 AM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
16030587,02/18/2010 04:49:51 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10002,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Pending,03/03/2010 08:04:38 PM,,02/25/2010 08:02:56 AM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
15985305,02/10/2010 08:33:25 PM,03/06/2010 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Conversion Of Manufacturing/Industrial Space,,10002,39 ELDRIDGE STREET,ELDRIDGE STREET,CANAL STREET,HESTER STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/06/2010 12:00:00 AM,03 MANHATTAN,1003010030.0,MANHATTAN,986129.0,200034.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.715723659910715,-73.99322187803406,"(40.71572365991072, -73.99322187803406)",True,False,False
