Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26347096,09/20/2013 10:25:34 PM,09/20/2013 11:17:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/21/2013 06:25:34 AM,The Police Department responded to the complaint and took action to fix the condition.,09/20/2013 11:17:43 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
26636115,11/06/2013 08:58:33 PM,11/06/2013 10:11:06 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/07/2013 04:58:33 AM,The Police Department responded to the complaint and took action to fix the condition.,11/06/2013 10:11:06 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
26704742,11/17/2013 09:50:27 PM,11/17/2013 10:28:35 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2013 05:50:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/17/2013 10:28:35 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
26826695,12/05/2013 11:08:27 PM,12/06/2013 01:03:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/06/2013 07:08:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/06/2013 01:02:10 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
27908144,04/24/2014 08:34:19 PM,04/24/2014 08:59:01 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/25/2014 04:34:19 AM,The Police Department responded to the complaint and took action to fix the condition.,04/24/2014 08:59:01 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
27960293,05/02/2014 10:24:54 PM,05/02/2014 10:48:31 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/03/2014 06:24:54 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/02/2014 10:48:31 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
28525109,07/21/2014 09:22:04 AM,11/02/2015 11:21:44 AM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,,Closed,06/20/2015 02:20:22 PM,The Department of Parks and Recreation has planted the tree(s).,11/02/2015 11:21:44 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",False,False,False
28684965,08/14/2014 11:52:32 PM,08/15/2014 03:03:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/15/2014 07:52:32 AM,The Police Department responded to the complaint and took action to fix the condition.,08/15/2014 03:03:27 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
28685765,08/14/2014 11:37:07 PM,08/15/2014 03:03:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/15/2014 07:37:07 AM,The Police Department responded to the complaint and took action to fix the condition.,08/15/2014 03:03:28 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29054583,10/11/2014 08:41:22 AM,02/24/2015 12:10:30 PM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,,Closed,11/30/2014 12:59:37 PM,The Department of Parks and Recreation has corrected the condition.,02/24/2015 12:10:30 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",False,False,False
29310759,11/17/2014 11:23:11 AM,11/03/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,,Closed,04/08/2015 10:00:58 AM,The City has removed the graffiti from this property.,11/10/2015 03:07:08 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29487466,12/13/2014 01:08:46 AM,12/13/2014 02:25:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/13/2014 09:08:46 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,12/13/2014 02:25:16 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29490812,12/14/2014 01:15:27 AM,12/14/2014 02:45:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/14/2014 09:15:27 AM,The Police Department responded to the complaint and took action to fix the condition.,12/14/2014 02:45:03 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29491580,12/13/2014 09:56:22 AM,12/13/2014 10:21:59 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/13/2014 05:56:22 PM,The Police Department responded to the complaint and determined that police action was not necessary.,12/13/2014 10:22:00 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29493948,12/14/2014 12:57:09 AM,12/14/2014 02:45:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/14/2014 08:57:09 AM,The Police Department responded to the complaint and took action to fix the condition.,12/14/2014 02:45:06 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29539361,12/19/2014 06:48:00 PM,12/20/2014 12:00:00 PM,DSNY,Manhattan 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,12/20/2014 12:00:00 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29756731,01/20/2015 11:28:32 PM,01/21/2015 08:21:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/21/2015 07:28:32 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/21/2015 08:21:18 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29812096,01/28/2015 11:11:15 PM,01/28/2015 11:47:01 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/29/2015 07:11:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/28/2015 11:47:01 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29828134,01/30/2015 11:30:28 PM,01/31/2015 12:21:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/31/2015 07:30:28 AM,The Police Department responded to the complaint and took action to fix the condition.,01/31/2015 12:21:14 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29892018,02/08/2015 12:51:36 AM,02/08/2015 04:08:44 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/08/2015 08:51:36 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/08/2015 04:08:44 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
29895172,02/07/2015 11:17:54 PM,02/08/2015 04:08:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/08/2015 07:17:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/08/2015 04:08:42 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
30627775,05/16/2015 12:32:12 AM,05/16/2015 03:02:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/16/2015 08:32:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/16/2015 03:02:36 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
30631753,05/16/2015 11:48:05 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Restaurant/Bar/Deli/Bakery,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,,Pending,06/22/2015 11:48:05 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,05/18/2015 09:52:29 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
30668581,05/21/2015 11:57:05 PM,05/22/2015 12:38:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/22/2015 07:57:05 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/22/2015 12:38:45 AM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,False,False
30767756,06/04/2015 05:06:00 PM,06/05/2015 12:00:00 PM,DSNY,Manhattan 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10002.0,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,06/05/2015 12:00:00 PM,03 MANHATTAN,1003100026.0,MANHATTAN,987170.0,200184.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)",True,True,False
