Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26394877,09/27/2013 10:45:25 PM,09/28/2013 05:29:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301.0,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,09/28/2013 06:45:25 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/28/2013 05:29:43 AM,01 STATEN ISLAND,,STATEN ISLAND,962624.0,171762.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63809720741578,-74.07792079018242,"(40.63809720741578, -74.07792079018242)",True,True,False
26476640,10/13/2013 12:42:50 AM,10/13/2013 01:28:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,VAN DUZER STREET,HANNAH STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/13/2013 08:42:50 AM,The Police Department responded to the complaint and took action to fix the condition.,10/13/2013 01:28:41 AM,01 STATEN ISLAND,5005690053.0,STATEN ISLAND,962605.0,171601.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.637655250538494,-74.0779887327085,"(40.63765525053849, -74.0779887327085)",True,True,False
26648570,11/09/2013 01:28:07 AM,11/09/2013 04:39:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301.0,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,11/09/2013 09:28:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/09/2013 04:39:10 AM,01 STATEN ISLAND,,STATEN ISLAND,962624.0,171762.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63809720741578,-74.07792079018242,"(40.63809720741578, -74.07792079018242)",True,True,False
26705059,11/17/2013 02:18:15 AM,11/17/2013 06:41:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301.0,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,VAN DUZER STREET,HANNAH STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,11/17/2013 10:18:15 AM,The Police Department responded to the complaint and took action to fix the condition.,11/17/2013 06:41:55 AM,01 STATEN ISLAND,5005690053.0,STATEN ISLAND,962605.0,171601.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.637655250538494,-74.0779887327085,"(40.63765525053849, -74.0779887327085)",True,True,False
26727539,11/20/2013 01:27:51 PM,01/20/2014 06:27:42 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery,10301,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,VAN DUZER STREET,HANNAH STREET,,,ADDRESS,STATEN ISLAND,,,Closed,01/19/2014 01:27:51 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/20/2014 06:27:42 AM,01 STATEN ISLAND,5005690053.0,STATEN ISLAND,962605.0,171601.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.637655250538494,-74.0779887327085,"(40.63765525053849, -74.0779887327085)",True,True,False
26782057,11/30/2013 02:39:58 AM,11/30/2013 05:22:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,VAN DUZER STREET,HANNAH STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,11/30/2013 10:39:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/30/2013 05:22:21 AM,01 STATEN ISLAND,5005690053.0,STATEN ISLAND,962605.0,171601.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.637655250538494,-74.0779887327085,"(40.63765525053849, -74.0779887327085)",True,True,False
26830577,12/07/2013 01:14:43 AM,12/07/2013 01:36:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301.0,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,12/07/2013 09:14:43 AM,The Police Department responded to the complaint and a report was prepared.,12/07/2013 01:32:22 AM,01 STATEN ISLAND,,STATEN ISLAND,962624.0,171762.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63809720741578,-74.07792079018242,"(40.63809720741578, -74.07792079018242)",True,True,False
27002027,12/28/2013 03:50:15 AM,12/28/2013 06:16:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,12/28/2013 11:50:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/28/2013 06:16:32 AM,01 STATEN ISLAND,,STATEN ISLAND,962624.0,171762.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63809720741578,-74.07792079018242,"(40.63809720741578, -74.07792079018242)",True,True,False
27128014,01/12/2014 02:08:35 AM,01/12/2014 06:28:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,01/12/2014 10:08:35 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/12/2014 06:28:00 AM,01 STATEN ISLAND,,STATEN ISLAND,962624.0,171762.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63809720741578,-74.07792079018242,"(40.63809720741578, -74.07792079018242)",True,True,False
27241558,01/25/2014 02:01:13 AM,01/25/2014 02:36:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301.0,4 SAINT PAULS AVENUE,SAINT PAULS AVENUE,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,01/25/2014 10:01:13 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/25/2014 02:36:24 AM,01 STATEN ISLAND,,STATEN ISLAND,962623.0,171762.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63809720497417,-74.07792439328743,"(40.638097204974166, -74.07792439328743)",True,True,True
