Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27548894,02/28/2014 10:16:21 AM,07/22/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002.0,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,,Closed,05/02/2014 03:32:17 PM,The City has removed the graffiti from this property.,08/20/2014 12:39:24 PM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
30843717,06/14/2015 01:02:02 PM,08/18/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,40 MARKET STREET,MARKET STREET,,,,,ADDRESS,NEW YORK,,,Closed,08/14/2015 03:09:43 PM,"The City inspected the property for cleaning, but no graffiti was found.",09/21/2015 03:12:04 PM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
31634945,09/28/2015 02:24:03 AM,09/28/2015 02:48:48 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/28/2015 10:24:03 AM,The Police Department responded to the complaint and took action to fix the condition.,09/28/2015 02:48:48 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
31775276,10/17/2015 03:38:22 AM,10/21/2015 01:11:20 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10002.0,40 MARKET STREET,MARKET STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",10/21/2015 12:00:00 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
31940079,11/08/2015 02:20:38 AM,11/08/2015 03:58:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/08/2015 10:20:38 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,11/08/2015 03:58:01 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
31989219,11/15/2015 02:23:00 AM,11/15/2015 04:27:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/15/2015 10:23:00 AM,The Police Department responded to the complaint and took action to fix the condition.,11/15/2015 04:27:58 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
32018413,11/19/2015 12:09:20 AM,11/19/2015 12:33:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/19/2015 08:09:20 AM,The Police Department responded to the complaint and took action to fix the condition.,11/19/2015 12:33:29 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
32040088,11/21/2015 11:32:40 PM,11/22/2015 01:21:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/22/2015 07:32:40 AM,The Police Department responded to the complaint and took action to fix the condition.,11/22/2015 01:21:06 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,False,False
32189993,12/13/2015 02:01:55 AM,12/13/2015 05:12:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002,40 MARKET STREET,MARKET STREET,HENRY STREET,MADISON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/13/2015 10:01:55 AM,The Police Department responded to the complaint and took action to fix the condition.,12/13/2015 05:12:11 AM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",True,True,False
32226889,12/18/2015 08:00:00 PM,12/20/2015 12:00:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10002,40 MARKET STREET,MARKET STREET,HENRY ST,MADISON ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/20/2015 12:00:00 PM,03 MANHATTAN,1002750027.0,MANHATTAN,985812.0,198829.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.712416284208565,-73.99436567260881,"(40.71241628420856, -73.99436567260881)",False,True,False
