Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
25586546,05/21/2013 09:28:00 AM,05/23/2013 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E1 Improper Disposal,Sidewalk,11361.0,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,Bayside,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,05/23/2013 12:00:00 PM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",True,False,False
27417520,02/12/2014 11:22:28 AM,02/19/2014 08:43:18 AM,DOT,Department of Transportation,Broken Muni Meter,Credit Card Stuck in Meter,Street,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,02/17/2014 11:22:28 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",02/19/2014 08:42:46 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,True,False
18356420,07/27/2010 10:13:35 AM,07/27/2010 10:13:35 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,07/27/2010 12:00:00 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",True,False,False
18481807,08/13/2010 12:25:30 PM,09/02/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,09/02/2010 12:00:00 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",True,False,False
21484283,09/21/2011 06:55:24 PM,09/23/2011 06:30:35 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,10/11/2011 06:55:24 PM,The Department of Transportation has completed the request or corrected the condition.,09/23/2011 06:30:35 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,False,False
25622436,05/28/2013 09:03:00 AM,05/29/2013 12:00:00 PM,DSNY,A - Queens,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,Bayside,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/29/2013 12:00:00 PM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",True,False,False
24813009,01/18/2013 10:54:36 AM,02/08/2013 07:55:50 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,02/08/2013 10:54:36 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",02/08/2013 07:55:50 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,False,False
24979410,02/11/2013 11:09:07 AM,03/12/2013 09:37:20 AM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,11361.0,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,03/03/2013 11:09:07 AM,General maintenance and cleaning is on a regular schedule. The next scheduled maintenance and cleaning will correct the condition.,03/12/2013 09:36:27 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,False,False
25081659,02/27/2013 02:08:29 PM,03/14/2013 06:32:37 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,03/20/2013 02:08:29 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",03/14/2013 06:32:37 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,False,False
26054908,08/02/2013 01:25:53 PM,08/08/2013 07:31:47 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,08/23/2013 01:25:53 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",08/08/2013 07:31:20 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,False,False
26188159,08/24/2013 03:02:54 PM,08/27/2013 10:06:59 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,11361,40-09 BELL BOULEVARD,BELL BOULEVARD,40 AVENUE,41 AVENUE,,,ADDRESS,BAYSIDE,,,Closed,09/14/2013 03:02:54 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",08/27/2013 10:06:59 AM,11 QUEENS,4062880007.0,QUEENS,1047619.0,217753.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76413100221003,-73.77124242846055,"(40.76413100221003, -73.77124242846057)",False,False,False
