Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18357575,07/27/2010 09:17:00 AM,07/27/2010 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11210.0,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,07/27/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",True,False,False
21600702,10/07/2011 11:31:00 AM,10/08/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11210.0,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RAILROAD,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,10/08/2011 12:00:00 PM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",True,False,False
25053374,02/22/2013 02:46:00 PM,02/22/2013 02:46:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11210.0,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RAILROAD,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/22/2013 02:46:00 PM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",True,True,False
15904480,02/01/2010 11:21:45 AM,02/01/2010 03:26:47 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11210,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/01/2010 07:21:45 PM,,02/01/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",False,False,False
15938566,02/05/2010 12:54:17 PM,02/05/2010 04:13:53 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11210.0,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/05/2010 08:54:17 PM,,02/05/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",False,False,False
25049614,02/22/2013 02:48:00 PM,02/26/2013 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11210,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RAILROAD,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,02/26/2013 12:00:00 PM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",True,True,False
16814243,06/07/2010 08:00:33 PM,06/08/2010 06:52:43 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11210,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/08/2010 04:00:33 AM,,06/08/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",False,False,False
16766715,05/31/2010 10:53:05 PM,06/01/2010 02:18:55 AM,NYPD,New York City Police Department,Traffic/Illegal Parking,Detached Trailer,Street/Sidewalk,11210.0,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/01/2010 06:53:05 AM,,06/01/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",False,False,False
16796610,06/04/2010 02:43:36 AM,06/04/2010 03:55:17 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11210,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/04/2010 10:43:36 AM,,06/04/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",False,False,False
16820088,06/08/2010 09:58:02 PM,06/09/2010 04:04:18 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11210,4001 AVENUE H,AVENUE H,EAST 40 STREET,LONG ISLAND RR,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/09/2010 05:58:02 AM,,06/09/2010 12:00:00 AM,17 BROOKLYN,3077240001.0,BROOKLYN,1001476.0,169631.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6322577170224,-73.93793831420325,"(40.6322577170224, -73.93793831420325)",False,False,False
