Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26308529,09/13/2013 03:47:52 PM,10/10/2013 02:38:55 PM,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,10016,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,10/13/2013 03:47:52 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",10/10/2013 02:38:55 PM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",False,False,False
26331269,09/17/2013 12:23:44 PM,09/17/2013 12:55:24 PM,NYPD,New York City Police Department,Drinking,In Public,Club/Bar/Restaurant,10016,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/17/2013 08:23:44 PM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,09/17/2013 12:55:24 PM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",True,False,False
16834652,06/09/2010 05:22:00 PM,06/10/2010 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/10/2010 12:00:00 AM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",True,False,False
21464671,09/18/2011 02:16:00 AM,09/23/2011 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/23/2011 12:00:00 PM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",True,False,False
24964613,02/08/2013 12:35:00 PM,02/12/2013 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,,,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/12/2013 12:00:00 PM,06 MANHATTAN,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,,,True,False,False
25115964,03/04/2013 12:03:00 PM,03/06/2013 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/06/2013 12:00:00 PM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",True,False,False
28415865,07/07/2014 02:54:13 PM,08/04/2014 12:53:52 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,08/06/2014 02:54:13 PM,"The Department of Transportation has inspected the location and notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",08/04/2014 12:53:52 PM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",False,False,False
28424066,07/07/2014 02:56:40 PM,07/08/2014 07:37:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,07/07/2014 10:56:40 PM,The Police Department responded to the complaint and took action to fix the condition.,07/08/2014 07:37:34 AM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",True,False,False
28483507,07/16/2014 01:41:43 AM,08/07/2014 05:56:07 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,08/15/2014 01:41:43 AM,"The Department of Transportation has inspected the location and notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",08/07/2014 05:56:07 PM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",False,False,False
28517036,07/21/2014 12:52:40 AM,07/21/2014 01:45:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016.0,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,07/21/2014 08:52:40 AM,The Police Department responded to the complaint and took action to fix the condition.,07/21/2014 01:45:38 AM,06 MANHATTAN,1009090054.0,MANHATTAN,989652.0,209769.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7424424064156,-73.98050553535441,"(40.74244240641559, -73.9805055353544)",True,False,False
