Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16805840,06/05/2010 09:24:00 AM,06/19/2010 02:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10016.0,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,E 28 ST,E 29 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/19/2010 02:00:00 PM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
21589623,10/05/2011 09:17:02 AM,04/11/2014 10:24:56 AM,DPR,Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Removal,Street,10016.0,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,10/13/2011 09:17:02 AM,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,04/11/2014 10:24:56 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",False,True,False
16048445,02/20/2010 12:44:00 PM,02/21/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Accident - Construction/Plumbing,,10016.0,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/21/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
16497121,04/21/2010 01:50:32 PM,04/28/2010 12:00:00 AM,DOB,Department of Buildings,Investigations and Discipline (IAD),Electrical - Unlicensed/Illegal/Improper Work In Progress,,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/28/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
16438366,04/13/2010 03:42:11 PM,04/22/2010 12:00:00 AM,DOB,Department of Buildings,BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,04/22/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",False,False,False
16544483,04/28/2010 01:25:00 PM,05/25/2010 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/25/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
16573502,05/03/2010 10:51:49 AM,05/17/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,05/17/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
16638628,05/11/2010 01:38:05 PM,05/13/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/13/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
16747543,05/27/2010 02:56:06 PM,06/08/2010 12:00:00 AM,DOB,Department of Buildings,BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,06/08/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",False,False,False
18336061,07/23/2010 10:21:54 PM,08/22/2010 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,,10016,420 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,08/22/2010 12:00:00 AM,05 MANHATTAN,1008580045.0,MANHATTAN,988756.0,210265.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74380430449325,-73.9837386425188,"(40.74380430449326, -73.9837386425188)",True,False,False
