Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26353985,09/21/2013 08:22:00 PM,09/21/2013 11:06:59 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/22/2013 04:22:00 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/21/2013 11:06:59 PM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
26402461,09/29/2013 08:47:29 PM,09/29/2013 11:08:37 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216.0,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/30/2013 04:47:29 AM,The Police Department responded to the complaint and took action to fix the condition.,09/29/2013 11:08:37 PM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
26445734,10/07/2013 12:12:13 AM,10/07/2013 01:43:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216.0,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/07/2013 08:12:13 AM,The Police Department responded to the complaint and took action to fix the condition.,10/07/2013 01:43:14 AM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
26520255,10/20/2013 03:27:11 AM,10/20/2013 03:58:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/20/2013 11:27:11 AM,The Police Department responded to the complaint and took action to fix the condition.,10/20/2013 03:58:26 AM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
26568405,10/26/2013 03:27:53 AM,10/26/2013 07:20:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216.0,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/26/2013 11:27:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/26/2013 07:20:02 AM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
26650614,11/08/2013 08:56:20 PM,11/09/2013 01:48:17 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216.0,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/09/2013 04:56:20 AM,The Police Department responded to the complaint and took action to fix the condition.,11/09/2013 01:48:17 AM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
26818343,10/11/2013 09:40:36 PM,10/11/2013 10:50:17 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216.0,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/12/2013 05:40:36 AM,The Police Department responded to the complaint and took action to fix the condition.,10/11/2013 10:49:25 PM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
27010605,12/30/2013 12:13:03 AM,12/30/2013 12:44:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/30/2013 08:13:03 AM,The Police Department responded to the complaint and determined that police action was not necessary.,12/30/2013 12:44:43 AM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
27191924,01/20/2014 12:45:55 AM,01/20/2014 05:01:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/20/2014 08:45:55 AM,The Police Department responded to the complaint and took action to fix the condition.,01/20/2014 05:01:04 AM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
27193318,01/19/2014 08:56:47 PM,01/19/2014 10:07:20 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,433 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/20/2014 04:56:47 AM,The Police Department responded to the complaint and took action to fix the condition.,01/19/2014 10:07:20 PM,03 BROOKLYN,3016690001.0,BROOKLYN,1001480.0,187828.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682204468178035,-73.93787740892192,"(40.682204468178035, -73.93787740892192)",True,False,False
