Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26487559,10/11/2013 05:34:39 PM,10/15/2013 09:05:27 AM,DOB,DOB Inspections - Queens,Construction,Initial - Construction,Street Address,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,CHURCH STREET,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,,Closed,10/15/2013 05:34:39 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,10/15/2013 09:05:27 AM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",False,True,False
20016702,03/12/2011 11:31:37 PM,03/12/2011 11:48:34 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,44 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,Precinct,Closed,03/13/2011 07:31:37 AM,The Police Department responded to the complaint and took action to fix the condition.,03/12/2011 11:48:27 PM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,False,False
20382215,05/07/2011 09:44:44 PM,05/07/2011 10:20:16 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,44 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,Precinct,Closed,05/08/2011 05:44:44 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/07/2011 10:20:16 PM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,False,False
21499386,09/23/2011 11:28:01 PM,09/24/2011 03:47:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,44 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,Precinct,Closed,09/24/2011 07:28:01 AM,The Police Department reviewed your complaint and provided additional information below.,09/24/2011 03:47:23 AM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,False,False
21755129,10/28/2011 10:42:41 PM,10/28/2011 11:46:36 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,44 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,Precinct,Closed,10/29/2011 06:42:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/28/2011 11:46:36 PM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,False,False
23737744,08/03/2012 03:26:10 PM,08/13/2012 03:28:44 PM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,CHURCH STREET,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,,Closed,08/23/2012 03:26:10 PM,The Department of Transportation has completed the request or corrected the condition.,08/13/2012 03:28:44 PM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",False,False,False
23710949,07/30/2012 04:40:03 PM,08/06/2012 02:52:40 PM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,CHURCH STREET,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,,Closed,08/19/2012 04:40:03 PM,The Department of Transportation has completed the request or corrected the condition.,08/06/2012 02:52:40 PM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",False,False,False
23878181,08/27/2012 04:13:43 PM,10/27/2012 06:30:11 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,CHURCH STREET,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,,Closed,10/26/2012 04:13:43 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/27/2012 06:30:11 AM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,False,False
25177438,03/14/2013 08:54:21 AM,03/14/2013 11:16:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11363.0,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,CHURCH STREET,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,Precinct,Closed,03/14/2013 04:54:21 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/14/2013 11:14:48 AM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,True,False
25182621,03/14/2013 10:26:04 AM,03/14/2013 11:01:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11363,44-25 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,CHURCH STREET,NORTHERN BOULEVARD,,,ADDRESS,LITTLE NECK,,Precinct,Closed,03/14/2013 06:26:04 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/14/2013 10:56:57 AM,11 QUEENS,4081110009.0,QUEENS,1054838.0,218504.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76613760273752,-73.74517460610829,"(40.76613760273752, -73.74517460610829)",True,True,False
