Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26235420,08/31/2013 02:45:24 AM,08/31/2013 05:03:34 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/31/2013 10:45:24 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,08/31/2013 05:03:34 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,True
26269030,09/06/2013 02:22:10 PM,,DOB,Department of Buildings,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,True
26351530,09/20/2013 11:58:08 AM,09/20/2013 03:13:34 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,09/24/2013 11:58:08 AM,"The Department of Consumer Affairs has received your report. This request is under investigation. The Department of Consumer Affairs will work with other relevant City agencies and take enforcement action, as necessary.",09/20/2013 03:13:35 PM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,True
16611080,05/07/2010 09:27:53 AM,06/22/2010 12:00:00 AM,DOB,Department of Buildings,Miscellaneous Categories,FDNY Referral - Pilot,,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/22/2010 12:00:00 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",False,False,False
20434104,05/13/2011 09:48:46 AM,05/24/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11237.0,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/24/2011 12:00:00 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,False,False
20500259,05/24/2011 01:50:04 PM,05/25/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",05/25/2011 12:00:00 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,False,False
20599193,06/08/2011 12:23:35 PM,06/13/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/13/2011 12:00:00 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,False,False
21716198,10/23/2011 03:34:08 AM,10/23/2011 05:02:43 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/23/2011 11:34:08 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/23/2011 05:02:44 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,False,False
23284611,05/23/2012 05:06:33 PM,01/14/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11237.0,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",01/14/2013 12:00:00 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,False,False
24079511,09/24/2012 06:50:12 PM,10/19/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,11/14/2012 11:53:16 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,False
24806889,01/17/2013 06:41:11 PM,05/15/2013 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,05/17/2013 03:52:55 PM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,False
24816856,01/19/2013 11:28:53 PM,01/20/2013 07:22:00 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/20/2013 07:28:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/20/2013 07:22:00 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,False
25109681,03/05/2013 12:04:49 AM,03/05/2013 02:09:53 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/05/2013 08:04:49 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/05/2013 02:09:15 AM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,False
26182458,08/23/2013 09:38:20 PM,08/23/2013 11:27:16 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,440 IRVING AVENUE,IRVING AVENUE,PUTNAM AVENUE,CORNELIA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/24/2013 05:38:20 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/23/2013 11:27:16 PM,04 BROOKLYN,3033780042.0,BROOKLYN,1009298.0,192981.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.696329590073425,-73.90967054711986,"(40.696329590073425, -73.90967054711986)",True,True,True
