Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26627115,11/04/2013 10:09:24 PM,02/10/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,,11220,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/10/2014 12:00:00 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
26630575,11/04/2013 10:14:39 PM,08/06/2014 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,08/06/2014 12:00:00 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
26632327,11/04/2013 10:06:11 PM,12/09/2013 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Facade - Defective/Cracking (Ll11/98),,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,12/09/2013 12:00:00 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27247148,01/26/2014 01:56:02 AM,01/26/2014 03:29:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/26/2014 09:56:02 AM,The Police Department responded to the complaint and took action to fix the condition.,01/26/2014 03:29:10 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27443809,02/15/2014 12:54:53 PM,02/18/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/18/2014 12:00:00 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
28378151,06/30/2014 02:08:00 PM,07/11/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/11/2014 12:00:00 PM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
16805073,06/05/2010 07:13:00 AM,06/12/2010 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/12/2010 12:00:00 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,False,False
27312191,02/02/2014 12:44:57 AM,02/02/2014 05:00:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11220,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/02/2014 08:44:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/02/2014 05:00:07 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27368208,02/09/2014 01:06:46 AM,02/09/2014 04:31:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11220,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/09/2014 09:06:46 AM,The Police Department responded to the complaint and took action to fix the condition.,02/09/2014 04:31:31 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27555553,03/02/2014 01:49:38 AM,03/02/2014 04:27:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/02/2014 09:49:38 AM,The Police Department responded to the complaint and took action to fix the condition.,03/02/2014 04:26:56 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27782478,04/04/2014 11:38:25 PM,04/05/2014 02:26:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11220.0,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/05/2014 07:38:25 AM,The Police Department responded to the complaint and took action to fix the condition.,04/05/2014 02:26:46 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27836534,04/13/2014 12:35:29 AM,04/13/2014 01:57:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11220,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/13/2014 08:35:29 AM,The Police Department responded to the complaint and took action to fix the condition.,04/13/2014 01:57:43 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27876440,04/20/2014 12:04:54 AM,04/20/2014 12:58:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11220,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/20/2014 08:04:54 AM,The Police Department responded to the complaint and took action to fix the condition.,04/20/2014 12:58:27 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
27924324,04/27/2014 03:42:43 AM,04/27/2014 07:19:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11220,4413 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/27/2014 11:42:43 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2014 07:19:43 AM,07 BROOKLYN,3007380005.0,BROOKLYN,981693.0,175975.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64968701732563,-74.00921474362302,"(40.64968701732563, -74.00921474362302)",True,True,False
