Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18340751,07/25/2010 03:33:00 PM,07/25/2010 06:00:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Overflow (Use Comments) (SA1),,10466.0,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP ST,E 241 ST,,,ADDRESS,BRONX,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",07/25/2010 06:00:00 PM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",False,False,False
16073109,02/24/2010 02:43:24 AM,02/24/2010 08:24:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,02/24/2010 10:43:24 AM,,02/24/2010 12:00:00 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
16264611,03/21/2010 03:58:16 AM,03/21/2010 06:52:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466.0,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/21/2010 11:58:16 AM,,03/21/2010 12:00:00 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
19203651,11/26/2010 10:52:44 PM,11/27/2010 12:14:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10466.0,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,11/27/2010 06:52:44 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/27/2010 12:14:41 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
19513033,01/02/2011 03:26:10 AM,01/02/2011 06:01:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466.0,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/02/2011 11:26:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/02/2011 06:01:02 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
19540834,01/06/2011 11:53:48 PM,01/07/2011 12:47:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466.0,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/07/2011 07:53:48 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/07/2011 12:47:56 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
19653750,01/22/2011 02:55:21 AM,01/22/2011 04:47:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/22/2011 10:55:21 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/22/2011 04:47:28 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
19813827,02/12/2011 12:51:49 AM,02/12/2011 04:42:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,02/12/2011 08:51:49 AM,The Police Department responded to the complaint and took action to fix the condition.,02/12/2011 04:42:19 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
19823505,02/13/2011 03:36:10 AM,02/13/2011 07:15:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10466,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,02/13/2011 11:36:10 AM,The Police Department responded to the complaint and took action to fix the condition.,02/13/2011 07:15:27 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
20243909,04/16/2011 02:15:01 AM,04/16/2011 03:12:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10466,4466 BAYCHESTER AVENUE,BAYCHESTER AVENUE,CAMP STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Closed,04/16/2011 10:15:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/16/2011 03:12:55 AM,12 BRONX,2050950079.0,BRONX,1026575.0,267726.0,PHONE,Unspecified,BRONX,,,,,,,,40.901418056406655,-73.84689426738197,"(40.90141805640666, -73.84689426738197)",True,False,False
