Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
33598763,06/14/2016 04:33:11 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11249.0,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,,Assigned,07/21/2016 04:33:11 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/15/2016 03:25:59 PM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",True,True,False
23264060,05/19/2012 12:16:00 PM,05/22/2012 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11249.0,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/22/2012 12:00:00 PM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",True,False,False
23352786,06/03/2012 01:46:00 PM,06/11/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11249.0,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/11/2012 12:00:00 PM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",True,False,False
31126353,07/21/2015 09:34:11 PM,07/22/2015 03:58:08 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11249,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/22/2015 05:34:11 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,07/22/2015 03:58:08 AM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",True,False,False
31525467,09/13/2015 12:24:41 PM,09/15/2015 12:50:00 PM,DOT,Department of Transportation,Street Condition,Cave-in,Street,11249,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,,Closed,09/23/2015 12:24:41 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,09/15/2015 12:50:00 PM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",False,False,False
31617388,09/26/2015 03:00:53 AM,09/26/2015 06:54:35 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11249.0,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/26/2015 11:00:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/26/2015 06:54:36 AM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",True,False,False
32195142,12/14/2015 12:20:23 AM,12/14/2015 05:01:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11249,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/14/2015 08:20:23 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/14/2015 05:01:40 AM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",True,True,False
32415278,01/14/2016 07:17:38 PM,07/11/2016 03:22:17 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11249,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,,Closed,07/16/2016 08:39:39 AM,The Department of Parks and Recreation has determined that the requested location cannot receive a new tree because of conflicts with surrounding infrastructure.,07/11/2016 03:22:17 PM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",False,True,False
33618804,06/17/2016 08:19:43 AM,06/17/2016 08:37:16 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11249,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/17/2016 04:19:43 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2016 08:37:16 AM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",False,True,False
34114943,08/18/2016 06:18:13 AM,08/18/2016 07:52:08 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11249,45 SOUTH 3 STREET,SOUTH 3 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/18/2016 02:18:13 PM,The Police Department responded to the complaint and took action to fix the condition.,08/18/2016 07:52:08 AM,01 BROOKLYN,3024150032.0,BROOKLYN,993676.0,199272.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71362733030471,-73.96599863237199,"(40.71362733030471, -73.96599863237199)",False,True,False
