Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26231905,08/30/2013 08:09:05 PM,08/30/2013 09:48:40 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,08/31/2013 04:09:05 AM,The Police Department responded to the complaint and took action to fix the condition.,08/30/2013 09:48:40 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26235207,08/31/2013 08:43:37 PM,08/31/2013 09:08:03 PM,NYPD,New York City Police Department,Drinking,In Public,Club/Bar/Restaurant,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2013 04:43:37 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 09:08:03 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26235873,08/31/2013 08:30:47 PM,08/31/2013 09:04:54 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2013 04:30:47 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 09:04:54 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26236480,08/31/2013 08:32:54 PM,08/31/2013 09:05:59 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2013 04:32:54 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 09:05:59 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26237191,09/01/2013 08:51:05 PM,09/01/2013 10:28:40 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2013 04:51:05 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 10:28:40 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26237341,09/01/2013 08:40:05 PM,09/01/2013 11:01:45 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2013 04:40:05 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 11:01:45 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26237354,09/01/2013 08:45:03 PM,09/01/2013 11:09:29 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2013 04:45:03 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 11:09:29 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26237356,09/01/2013 08:52:57 PM,09/01/2013 10:26:29 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2013 04:52:57 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 10:26:29 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26237656,09/01/2013 08:47:20 PM,09/01/2013 10:31:57 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2013 04:47:20 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 10:31:57 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
26237789,09/01/2013 08:42:04 PM,09/01/2013 11:05:10 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10464,459 CITY ISLAND AVENUE,CITY ISLAND AVENUE,BOWNE STREET,BEACH STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/02/2013 04:42:04 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 11:05:10 PM,10 BRONX,2056340019.0,BRONX,1042771.0,249442.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8511417066664,-73.78846704730488,"(40.8511417066664, -73.78846704730488)",True,False,False
