Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15951377,02/07/2010 03:00:35 AM,02/07/2010 03:52:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471.0,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,02/07/2010 11:00:35 AM,,02/07/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
16101767,02/28/2010 09:00:58 AM,02/28/2010 12:07:06 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471.0,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,02/28/2010 05:00:58 PM,,02/28/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
16466958,04/18/2010 02:11:52 AM,04/18/2010 02:38:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,04/18/2010 10:11:52 AM,,04/18/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
16469532,04/18/2010 04:14:07 AM,04/18/2010 05:22:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,04/18/2010 12:14:07 PM,,04/18/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
16514271,04/24/2010 03:43:38 AM,04/24/2010 05:42:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,04/24/2010 11:43:38 AM,,04/24/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
18487277,08/15/2010 04:53:08 PM,08/15/2010 05:37:25 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,08/16/2010 12:53:08 AM,,08/15/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
18898784,10/16/2010 01:09:48 AM,10/16/2010 05:07:30 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,10/16/2010 09:09:48 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,10/16/2010 12:00:00 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
19261057,12/04/2010 11:32:20 AM,12/04/2010 03:13:33 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471.0,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,12/04/2010 07:32:20 PM,The Police Department responded to the complaint and determined that police action was not necessary.,12/04/2010 03:13:33 PM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
20710901,06/25/2011 03:45:54 AM,06/25/2011 07:13:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,06/25/2011 11:45:54 AM,The Police Department reviewed your complaint and provided additional information below.,06/25/2011 07:13:36 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
22656723,02/04/2012 03:30:18 AM,02/04/2012 04:36:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10471,4685 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,02/04/2012 11:30:18 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/04/2012 04:35:33 AM,08 BRONX,,BRONX,1012228.0,263637.0,PHONE,Unspecified,BRONX,,,,,,,,40.89025222293979,-73.89880988903258,"(40.8902522229398, -73.89880988903258)",True,False,False
