Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19166276,11/19/2010 11:34:00 AM,12/15/2010 11:45:00 AM,DEP,Department of Environmental Protection,Noise,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 ST,48 ST,,,ADDRESS,Sunnyside,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,12/15/2010 11:45:00 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
18334803,07/25/2010 02:16:25 AM,07/25/2010 03:33:07 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11104,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,07/25/2010 10:16:25 AM,,07/25/2010 12:00:00 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
18807420,10/01/2010 10:45:54 AM,10/12/2010 09:27:38 AM,DOT,Department of Transportation,Street Sign - Damaged,One Way,Street,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,,Closed,10/12/2010 12:00:55 PM,The Department of Transportation has completed the request or corrected the condition.,10/12/2010 12:00:00 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",False,False,False
19313678,12/11/2010 01:57:46 AM,02/10/2011 06:18:37 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Restaurant/Bar/Deli/Bakery,11104,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,,Closed,02/09/2011 01:57:46 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",02/10/2011 06:18:37 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
20000605,03/10/2011 02:45:04 AM,03/10/2011 04:54:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11104,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,03/10/2011 10:45:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/10/2011 04:54:45 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
20024614,03/14/2011 03:01:27 AM,03/14/2011 03:33:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,03/14/2011 11:01:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/14/2011 03:33:24 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
20024630,03/14/2011 02:54:37 AM,03/14/2011 03:32:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,03/14/2011 10:54:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/14/2011 03:32:23 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
20049519,03/17/2011 06:26:32 PM,03/17/2011 10:28:47 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,03/18/2011 02:26:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/17/2011 10:28:47 PM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
20096472,03/24/2011 05:00:41 AM,03/24/2011 05:38:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,03/24/2011 01:00:41 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2011 05:38:49 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
20096482,03/24/2011 04:59:21 AM,03/24/2011 05:38:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11104.0,47-16 GREENPOINT AVENUE,GREENPOINT AVENUE,47 STREET,48 STREET,,,ADDRESS,SUNNYSIDE,,Precinct,Closed,03/24/2011 12:59:21 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2011 05:38:50 AM,02 QUEENS,4001510032.0,QUEENS,1007081.0,209828.0,PHONE,Unspecified,QUEENS,,,,,,,,40.742576525891046,-73.91760846348703,"(40.742576525891046, -73.91760846348703)",True,False,False
