Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26317806,09/15/2013 08:22:23 AM,09/15/2013 08:35:58 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,09/15/2013 04:22:23 PM,The Police Department issued a summons in response to the complaint.,09/15/2013 08:35:58 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
26308412,09/13/2013 08:42:20 AM,09/13/2013 10:16:45 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,09/13/2013 04:42:20 PM,The Police Department issued a summons in response to the complaint.,09/13/2013 10:16:24 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
26323750,09/16/2013 05:48:34 AM,09/16/2013 06:12:00 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,09/16/2013 01:48:34 PM,The Police Department issued a summons in response to the complaint.,09/16/2013 06:10:45 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
26433548,10/04/2013 05:09:38 AM,10/04/2013 06:52:05 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,10/04/2013 01:09:38 PM,The Police Department responded to the complaint and took action to fix the condition.,10/04/2013 06:50:29 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
26406737,09/30/2013 05:58:56 PM,09/30/2013 09:26:13 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465.0,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,10/01/2013 01:58:56 AM,The Police Department issued a summons in response to the complaint.,09/30/2013 09:25:28 PM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
26520111,10/20/2013 05:40:56 AM,10/20/2013 06:16:55 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,10/20/2013 01:40:56 PM,The Police Department responded to the complaint and took action to fix the condition.,10/20/2013 06:15:00 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
26883918,12/14/2013 07:52:58 AM,12/14/2013 09:16:26 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465.0,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,12/14/2013 03:52:58 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,12/14/2013 09:16:00 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,ONLINE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,True,False
24434154,11/19/2012 10:27:00 AM,11/19/2012 12:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10465.0,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PL,BEVY PL,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,11/19/2012 12:00:00 PM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,PHONE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,False,False
20442088,05/16/2011 05:04:27 AM,05/16/2011 06:22:31 AM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10465.0,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,Precinct,Closed,05/16/2011 01:04:27 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/16/2011 06:22:31 AM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,PHONE,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",False,False,False
21058984,08/17/2011 11:12:00 AM,,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10465,50 PENNYFIELD AVENUE,PENNYFIELD AVENUE,ALAN PLACE,BEVY PLACE,,,ADDRESS,BRONX,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,08/17/2011 09:45:00 PM,10 BRONX,2055290425.0,BRONX,1038622.0,234413.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.809918040588116,-73.80358598790005,"(40.80991804058812, -73.80358598790005)",True,False,False
