Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26231517,08/30/2013 11:32:31 PM,12/04/2013 03:18:14 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,10/18/2013 08:47:44 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,12/04/2013 03:18:14 PM,06 MANHATTAN,1013020051.0,MANHATTAN,991674.0,214382.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.755102462810854,-73.97320355186292,"(40.755102462810854, -73.97320355186292)",False,True,False
26228675,08/30/2013 11:27:45 PM,10/02/2013 10:33:04 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,10/18/2013 08:47:44 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,10/02/2013 10:33:04 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991674.0,214382.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.755102462810854,-73.97320355186292,"(40.755102462810854, -73.97320355186292)",False,True,False
26446545,10/06/2013 04:50:05 AM,10/06/2013 04:58:51 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10017.0,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/06/2013 12:50:05 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/06/2013 04:58:51 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991674.0,214382.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755102462810854,-73.97320355186292,"(40.755102462810854, -73.97320355186292)",False,True,False
26468988,10/10/2013 04:02:38 PM,12/10/2013 06:49:23 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,12/09/2013 04:02:38 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/10/2013 06:49:23 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991674.0,214382.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.755102462810854,-73.97320355186292,"(40.755102462810854, -73.97320355186292)",True,True,True
26823166,02/06/2011 04:33:50 AM,02/06/2011 06:14:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10017.0,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,02/06/2011 12:33:50 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/06/2011 06:04:47 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991719.0,214394.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755135361859175,-73.97304111395175,"(40.755135361859175, -73.97304111395175)",True,False,False
18691464,09/15/2010 01:52:00 AM,09/20/2010 09:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10017.0,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVE,3 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/20/2010 09:00:00 PM,06 MANHATTAN,1013020051.0,MANHATTAN,991674.0,214382.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.755102462810854,-73.97320355186292,"(40.755102462810854, -73.97320355186292)",True,False,False
23236696,05/15/2012 12:04:00 AM,05/15/2012 10:20:00 AM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10017.0,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVE,3 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint. Asbestos was found and a violation was issued.,05/15/2012 10:20:00 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991674.0,214382.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.755102462810854,-73.97320355186292,"(40.755102462810854, -73.97320355186292)",True,False,False
15746359,01/17/2010 12:33:23 AM,01/17/2010 01:10:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/17/2010 08:33:23 AM,,01/17/2010 12:00:00 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991719.0,214394.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755135361859175,-73.97304111395175,"(40.755135361859175, -73.97304111395175)",True,False,False
15790363,01/24/2010 12:02:29 AM,01/24/2010 03:45:44 AM,NYPD,New York City Police Department,Traffic/Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/24/2010 08:02:29 AM,,01/24/2010 12:00:00 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991719.0,214394.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755135361859175,-73.97304111395175,"(40.755135361859175, -73.97304111395175)",False,False,False
15834358,01/30/2010 02:21:02 AM,01/30/2010 03:33:52 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/30/2010 10:21:02 AM,,01/30/2010 12:00:00 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991719.0,214394.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755135361859175,-73.97304111395175,"(40.755135361859175, -73.97304111395175)",True,False,False
16153007,03/07/2010 12:36:03 AM,03/07/2010 12:42:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10017.0,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,03/07/2010 08:36:03 AM,,03/07/2010 12:00:00 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991719.0,214394.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755135361859175,-73.97304111395175,"(40.755135361859175, -73.97304111395175)",True,False,False
16155569,03/07/2010 03:48:11 AM,03/07/2010 03:56:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10017,511 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,03/07/2010 11:48:11 AM,,03/07/2010 12:00:00 AM,06 MANHATTAN,1013020051.0,MANHATTAN,991719.0,214394.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.755135361859175,-73.97304111395175,"(40.755135361859175, -73.97304111395175)",True,False,False
